"lunghezza" "carico" "nazione"
"85" 38.1 23.45 "spagna"
"86" 43.8 30.23 "portogallo"
"87" 52.2 42.53 "spagna"
"88" 40 29.76 "spagna"
"89" 41 32.94 "spagna"
"90" 50.3 55.91 "francia"
"91" 39.7 29.73 "portogallo"
"92" 40.6 29.93 "spagna"
"93" 40.8 29.58 "portogallo"
"94" 38.2 27.86 "portogallo"
"95" 39.5 33.94 "portogallo"
"96" 38 37.51 "francia"
"97" 41.1 30.9 "portogallo"
"98" 40 39.77 "francia"
"99" 49 42.84 "portogallo"
"100" 38.3 30.77 "portogallo"
"101" 42.9 37.33 "portogallo"
"102" 42.9 40.31 "francia"
"103" 38.6 33.58 "francia"
"104" 41.8 37.61 "spagna"
"105" 39.3 30.75 "spagna"
"106" 52.1 55.17 "francia"
"107" 53.5 41.38 "portogallo"
"108" 41.3 30.63 "spagna"
"109" 47.1 47.78 "inghilterra"
"110" 52.1 39.31 "spagna"
"111" 38.8 40.25 "inghilterra"
"112" 40.4 32.34 "portogallo"
"113" 41.2 29.38 "spagna"
"114" 40.3 39.66 "inghilterra"
"115" 41 36.09 "spagna"
"116" 41.5 27.6 "spagna"
"117" 42 42.06 "francia"
"118" 40.9 40.8 "francia"
"119" 37.5 30.69 "spagna"
"120" 42.4 40.72 "inghilterra"
"121" 40.2 27.97 "portogallo"
"122" 40.7 28.18 "spagna"
"123" 40.2 29.01 "spagna"
"124" 40.7 39 "francia"
"125" 47.1 37.16 "spagna"
"126" 52.8 60.31 "francia"
"127" 39.3 35.01 "francia"
"128" 37.9 34.21 "portogallo"
"129" 47 47.66 "francia"
"130" 48 52.56 "francia"
"131" 39.6 29.36 "spagna"
"132" 36.9 26.77 "spagna"
"133" 39.3 24.91 "spagna"
"134" 44.7 39.32 "spagna"
"135" 48.2 38.15 "spagna"
"136" 40.1 39.62 "francia"
"137" 50.3 54.91 "francia"
"138" 50.3 39.38 "portogallo"
"139" 39.2 24.39 "spagna"
"140" 40.8 32.92 "portogallo"
"141" 50.4 49.96 "francia"
"142" 42.3 43.33 "francia"
"143" 43.3 34.63 "portogallo"
"144" 36.4 25.45 "portogallo"
"145" 43.1 33.54 "portogallo"
"146" 43.9 46.94 "francia"
"147" 40.9 34.57 "portogallo"
"148" 49.6 50.91 "inghilterra"
"149" 40.7 28.85 "spagna"
"150" 41.4 29.43 "portogallo"
"151" 40.6 34.12 "spagna"
"152" 38.9 26.35 "portogallo"
"153" 40.8 41.04 "inghilterra"
"154" 41.6 44.27 "inghilterra"
"155" 39.3 25.45 "spagna"
"156" 40.4 31.01 "spagna"
"157" 38.9 28.38 "spagna"
"158" 53.1 42.67 "portogallo"
"159" 41.1 44.26 "francia"
"160" 41.5 30.12 "spagna"
"161" 35.9 27.33 "portogallo"
"162" 38.9 26.7 "portogallo"
"163" 43.8 45.58 "inghilterra"
"164" 50.3 35.81 "spagna"
"165" 53.2 42.96 "spagna"
"166" 53.4 43.52 "portogallo"
"167" 44.3 31.01 "spagna"
"168" 40 31.91 "spagna"
"169" 46.5 46.42 "francia"
"170" 47.6 39.32 "spagna"
"171" 41.2 29.85 "portogallo"
"172" 53 44.06 "portogallo"
"173" 42.4 32.73 "spagna"
"174" 41.3 32.07 "spagna"
"175" 39.8 33.93 "portogallo"
"176" 40.7 31.13 "portogallo"
"177" 48.3 50.7 "francia"
"178" 42.6 32.84 "spagna"
"179" 40.6 27.66 "portogallo"
"180" 48.5 39.75 "spagna"
"181" 43.6 43.77 "inghilterra"
"182" 38.3 42.03 "francia"
"183" 39.1 28.08 "spagna"
"184" 42.6 43.7 "francia"
"185" 37.6 35.37 "portogallo"
"186" 39.6 43.19 "francia"
"187" 52.4 43.48 "spagna"
"188" 51 40.63 "portogallo"
"189" 51 43.36 "spagna"
"190" 41.3 41.71 "francia"
"191" 39.7 40.54 "francia"
"192" 40.1 23.13 "spagna"
"193" 42.3 40.06 "francia"
"194" 37.4 23.5 "spagna"
"195" 37.5 33.01 "inghilterra"
"196" 39.2 30.39 "portogallo"
"197" 37.7 23.87 "portogallo"
"198" 43.4 44.72 "inghilterra"
"199" 40.4 28.46 "portogallo"
"200" 39.3 30.5 "portogallo"
"201" 42.1 33.73 "portogallo"
"202" 48.3 53.89 "inghilterra"
"203" 45.7 38.61 "spagna"
"204" 42.4 33.14 "portogallo"
"205" 41.3 29.58 "portogallo"
"206" 50.5 48.69 "inghilterra"
"207" 37.6 28.18 "portogallo"
"208" 45.6 33.15 "portogallo"
"209" 46.4 37.35 "portogallo"
"210" 49 39.67 "portogallo"
"211" 39.3 24.82 "portogallo"
"212" 39.9 31.45 "spagna"
"213" 49.9 49.47 "inghilterra"
"214" 42 46.07 "francia"
"215" 44.1 34.01 "spagna"
"216" 39.1 30.12 "spagna"
"217" 44.9 36.17 "portogallo"
"218" 38.5 38.84 "inghilterra"
"219" 49 43.66 "portogallo"
"220" 51.4 38.53 "portogallo"
"221" 42.3 34.42 "spagna"
"222" 38.3 30.71 "portogallo"
"223" 38.6 32.51 "portogallo"
"224" 51 39.37 "spagna"
"225" 39.4 29.63 "portogallo"
"226" 48 47.68 "francia"
"227" 38.3 26.47 "portogallo"
"228" 49 53.68 "francia"
"229" 50.2 52.82 "francia"
"230" 42.8 50.39 "francia"
"231" 41.7 30.92 "spagna"
"232" 42.6 30.81 "portogallo"
"233" 39.4 26.77 "spagna"
"234" 47.6 41.04 "spagna"
"235" 41.4 29.74 "portogallo"
"236" 37.2 28.7 "spagna"
"237" 50.9 37.97 "portogallo"
"238" 40.5 31.83 "spagna"
"239" 48.2 49.19 "francia"
"240" 47.4 39.78 "portogallo"
"241" 38.4 30.97 "spagna"
"242" 50.5 55.12 "francia"
"243" 40 33.34 "portogallo"
"244" 39.2 32.47 "portogallo"
"245" 40.6 41.28 "francia"
"246" 50.9 52.94 "francia"
"247" 38.5 40.07 "inghilterra"
"248" 41.6 33.15 "portogallo"
"249" 43.7 38.04 "portogallo"
"250" 37 23.04 "spagna"
"251" 37 25.24 "spagna"
"252" 39.1 24.95 "portogallo"
"253" 42 29.9 "spagna"
"254" 42.8 43.17 "francia"
"255" 40.5 31.35 "portogallo"
"256" 48.4 33.42 "spagna"
"257" 47.9 40.31 "spagna"
"258" 40.8 44.06 "francia"
"259" 40.7 32.24 "spagna"
"260" 49.3 43.5 "portogallo"
"261" 51.3 41.15 "portogallo"
"262" 45.6 44.79 "francia"
"263" 41.6 32.08 "portogallo"
"264" 49.6 54.26 "inghilterra"
"265" 51.6 47.15 "spagna"
"266" 42.2 36.39 "portogallo"
"267" 37.2 28.8 "spagna"
"268" 41.3 46.17 "inghilterra"
"269" 40.4 28.64 "spagna"
"270" 39.8 43.06 "francia"
"271" 38.7 26.69 "spagna"
"272" 51.1 47.58 "portogallo"
"273" 48.8 36.85 "spagna"
"274" 47.6 35.72 "portogallo"
"275" 37.5 34.39 "francia"
"276" 54.9 62.13 "inghilterra"
"277" 39.1 34.01 "francia"
"278" 39.3 41.08 "inghilterra"
"279" 44 31.03 "portogallo"
"280" 40.8 30.42 "portogallo"
"281" 51.1 55.81 "inghilterra"
"282" 40 43.99 "francia"
"283" 48.2 36.16 "portogallo"
"284" 38.1 37.28 "inghilterra"
"285" 41.7 32.39 "spagna"
"286" 39.3 41.49 "francia"
"287" 38.8 25.18 "spagna"
"288" 49.3 42.21 "portogallo"
"289" 43.1 35.57 "portogallo"
"290" 43.4 51.93 "inghilterra"
"291" 39.4 32.62 "spagna"
"292" 43.2 40.36 "inghilterra"
"293" 48.5 39.32 "spagna"
"294" 40.1 34.83 "francia"
"295" 44.1 43.25 "francia"
"296" 38.5 30.02 "portogallo"
"297" 41.1 43.05 "francia"
"298" 42.5 31 "portogallo"
"299" 39.2 24.31 "spagna"
"300" 51.5 57.02 "francia"
"301" 50.2 38.25 "portogallo"
"302" 43 37.75 "portogallo"
"303" 51.2 59.19 "inghilterra"
"304" 41.7 29.62 "spagna"
"305" 53.1 44.63 "portogallo"
"306" 50.7 55.46 "francia"
"307" 52.1 38.08 "portogallo"
"308" 42.1 29.06 "spagna"
"309" 51.1 44.04 "portogallo"
"310" 44 35.78 "portogallo"
"311" 47.4 48.5 "francia"
"312" 51 53.45 "francia"
"313" 45.8 30.32 "portogallo"
"314" 39.1 27.16 "portogallo"
"315" 39.8 32.48 "portogallo"
"316" 50 53.21 "francia"
"317" 40.7 31.68 "portogallo"
"318" 38.8 33 "portogallo"
"319" 49.9 35.27 "portogallo"
"320" 50.8 41.76 "spagna"
"321" 35.1 26.73 "spagna"
"322" 51.4 51.98 "francia"
"323" 33.8 21.22 "portogallo"
"324" 39.1 27.58 "spagna"
"325" 49.6 42.91 "portogallo"
"326" 39.5 26.89 "portogallo"
"327" 38.1 33.31 "francia"
"328" 47.9 41.03 "spagna"
"329" 42.7 48.41 "francia"
"330" 52.5 46.92 "portogallo"
"331" 41.6 29.33 "spagna"
"332" 46.7 47.56 "francia"
"333" 52.5 58.34 "francia"
"334" 48.4 41.36 "portogallo"
"335" 39.2 28.5 "portogallo"
"336" 37.6 26.18 "spagna"
"337" 54.3 45.22 "portogallo"
"338" 40.3 30.95 "spagna"
"339" 49.4 51.55 "francia"
"340" 39.7 31.2 "portogallo"
"341" 39.9 29.7 "portogallo"
"342" 46 38.4 "spagna"
"343" 39.7 29.86 "spagna"
"344" 51.7 53.35 "francia"
"345" 38.5 27.52 "spagna"
"346" 36.9 30.18 "portogallo"
"347" 49.6 36.32 "spagna"
"348" 39.4 26.66 "spagna"
"349" 41.8 29.83 "spagna"
"350" 37.7 26.72 "portogallo"
"351" 40.2 28.52 "portogallo"
"352" 51.2 39.94 "portogallo"
