"prezzo" "camere" "posizione"
"204" 462.1 "bilo" "poli"
"205" 326.4 "bilo" "poli"
"206" 613.2 "bilo" "poli"
"207" 660.7 "bilo" "poli"
"208" 492.6 "bilo" "poli"
"209" 554.2 "bilo" "poli"
"210" 679.3 "bilo" "poli"
"211" 571.2 "bilo" "poli"
"212" 552.4 "bilo" "poli"
"213" 554.9 "bilo" "poli"
"214" 697 "bilo" "poli"
"215" 722.9 "bilo" "poli"
"216" 681.8 "bilo" "poli"
"217" 564.6 "bilo" "poli"
"218" 559.4 "bilo" "poli"
"219" 579.5 "bilo" "poli"
"220" 695 "bilo" "poli"
"221" 599.9 "bilo" "poli"
"222" 605.4 "bilo" "poli"
"223" 604.1 "bilo" "poli"
"224" 801.8 "bilo" "poli"
"225" 643.7 "bilo" "poli"
"226" 643.6 "bilo" "non-poli"
"227" 656.1 "bilo" "non-poli"
"228" 656.9 "bilo" "non-poli"
"229" 580.1 "bilo" "non-poli"
"230" 501 "bilo" "non-poli"
"231" 581.4 "bilo" "non-poli"
"232" 722.8 "bilo" "non-poli"
"233" 608.5 "bilo" "non-poli"
"234" 786.6 "bilo" "non-poli"
"235" 695.7 "bilo" "non-poli"
"236" 602.5 "bilo" "non-poli"
"237" 487 "bilo" "non-poli"
"238" 538 "bilo" "non-poli"
"239" 730.5 "bilo" "non-poli"
"240" 475.3 "bilo" "non-poli"
"241" 680.9 "bilo" "non-poli"
"242" 651.8 "bilo" "non-poli"
"243" 531.6 "bilo" "non-poli"
"244" 547.7 "bilo" "non-poli"
"245" 580.9 "bilo" "non-poli"
"246" 606.1 "bilo" "non-poli"
"247" 811.9 "bilo" "non-poli"
"248" 720.4 "bilo" "non-poli"
"249" 650.8 "bilo" "non-poli"
"250" 650.2 "bilo" "non-poli"
"251" 357.4 "bilo" "non-poli"
"252" 759.5 "bilo" "non-poli"
"253" 518.9 "bilo" "non-poli"
"254" 542.1 "bilo" "non-poli"
"255" 633 "bilo" "non-poli"
"256" 468 "bilo" "non-poli"
"257" 702.9 "bilo" "non-poli"
"258" 551.5 "bilo" "non-poli"
"259" 791.6 "bilo" "non-poli"
"260" 561.7 "bilo" "non-poli"
"261" 653.4 "bilo" "non-poli"
"262" 507.3 "bilo" "non-poli"
"263" 551.5 "bilo" "non-poli"
"264" 689.1 "bilo" "non-poli"
"265" 748.9 "bilo" "non-poli"
"266" 679.4 "bilo" "non-poli"
"267" 637.2 "bilo" "non-poli"
"268" 747.4 "bilo" "non-poli"
"269" 597 "bilo" "non-poli"
"270" 566.4 "bilo" "non-poli"
"271" 546.6 "bilo" "non-poli"
"272" 484.4 "bilo" "non-poli"
"273" 578.6 "bilo" "non-poli"
"274" 648.7 "bilo" "non-poli"
"275" 592.7 "bilo" "non-poli"
"276" 621.5 "bilo" "non-poli"
"277" 686.5 "bilo" "non-poli"
"278" 710.5 "bilo" "non-poli"
"279" 676.1 "bilo" "non-poli"
"280" 502.6 "bilo" "non-poli"
"281" 734.9 "bilo" "non-poli"
"282" 680.7 "bilo" "non-poli"
"283" 640.2 "bilo" "non-poli"
"284" 590.6 "bilo" "non-poli"
"285" 793 "bilo" "non-poli"
"286" 424.6 "bilo" "non-poli"
"287" 770 "bilo" "non-poli"
"288" 427 "bilo" "non-poli"
"289" 515 "bilo" "non-poli"
"290" 581.5 "bilo" "non-poli"
"291" 546.9 "bilo" "non-poli"
"292" 512.3 "bilo" "non-poli"
"293" 636.4 "bilo" "non-poli"
"294" 613.9 "bilo" "non-poli"
"295" 511.8 "bilo" "non-poli"
"296" 681.3 "bilo" "non-poli"
"297" 719.9 "bilo" "non-poli"
"298" 630.5 "bilo" "non-poli"
"299" 593.3 "bilo" "non-poli"
"300" 365.8 "bilo" "non-poli"
