"partenza" "durata" "giorno"
"896" 6.98 0.64 "feriale"
"698" 8.4 0.65 "feriale"
"256" 7.38 0.56 "feriale"
"827" 6.3 0.46 "feriale"
"656" 7.29 0.56 "feriale"
"519" 8.34 0.68 "feriale"
"218" 6.79 0.51 "feriale"
"55" 7.37 0.59 "feriale"
"526" 8.33 0.65 "feriale"
"1084" 6.41 0.37 "festivo"
"749" 8.43 0.66 "feriale"
"9" 7.77 0.53 "feriale"
"890" 8.79 0.59 "feriale"
"928" 7.42 0.55 "festivo"
"60" 7.62 0.68 "feriale"
"547" 7 0.53 "feriale"
"810" 8.25 0.66 "feriale"
"146" 7.39 0.56 "feriale"
"829" 6.77 0.51 "feriale"
"292" 6.83 0.57 "feriale"
"1047" 6.23 0.41 "festivo"
"775" 8.13 0.64 "feriale"
"263" 7.2 0.56 "feriale"
"337" 9 0.63 "feriale"
"887" 8.33 0.6 "feriale"
"1031" 6.62 0.48 "festivo"
"123" 6.9 0.49 "feriale"
"423" 6.68 0.44 "feriale"
"550" 8.09 0.61 "feriale"
"154" 8.53 0.63 "feriale"
"143" 6.44 0.49 "feriale"
"117" 8.68 0.68 "feriale"
"617" 7.75 0.64 "feriale"
"409" 7.39 0.64 "feriale"
"353" 8.1 0.54 "feriale"
"561" 8.21 0.55 "feriale"
"291" 7.38 0.59 "feriale"
"107" 7.42 0.6 "feriale"
"137" 8.76 0.59 "feriale"
"858" 7.71 0.59 "feriale"
"66" 8.21 0.71 "feriale"
"907" 8.99 0.61 "feriale"
"58" 8.78 0.56 "feriale"
"695" 6.92 0.57 "feriale"
"238" 8.69 0.58 "feriale"
"853" 8.3 0.63 "feriale"
"356" 6.85 0.56 "feriale"
"1059" 7.75 0.44 "festivo"
"1028" 7.61 0.62 "festivo"
"272" 8.11 0.62 "feriale"
"653" 7.01 0.54 "feriale"
"984" 7.21 0.44 "festivo"
"191" 8.46 0.64 "feriale"
"277" 6.33 0.46 "feriale"
"249" 7.71 0.65 "feriale"
"1049" 8.93 0.55 "festivo"
"732" 7.3 0.59 "feriale"
"800" 6.75 0.57 "feriale"
"422" 8.83 0.63 "feriale"
"918" 8.72 0.58 "festivo"
"474" 8.55 0.65 "feriale"
"421" 7.58 0.58 "feriale"
"932" 6.25 0.4 "festivo"
"392" 6.24 0.49 "feriale"
"676" 6.86 0.58 "feriale"
"978" 8.7 0.61 "festivo"
"1034" 6.16 0.44 "festivo"
"1113" 7.59 0.52 "festivo"
"174" 6.45 0.52 "feriale"
"41" 7.49 0.58 "feriale"
"722" 8.14 0.61 "feriale"
"1122" 6.31 0.38 "festivo"
"841" 6.15 0.52 "feriale"
"15" 7.46 0.59 "feriale"
"242" 7.76 0.56 "feriale"
"113" 8.18 0.56 "feriale"
"190" 8.99 0.65 "feriale"
"222" 8.86 0.59 "feriale"
"225" 8.24 0.62 "feriale"
"804" 7.41 0.64 "feriale"
"868" 8.88 0.67 "feriale"
"1123" 8.2 0.55 "festivo"
"901" 7.91 0.55 "feriale"
"854" 7.05 0.59 "feriale"
"1055" 8.94 0.57 "festivo"
"596" 7.99 0.68 "feriale"
"189" 8.54 0.65 "feriale"
"95" 8.88 0.65 "feriale"
"349" 8.55 0.65 "feriale"
"459" 7.66 0.56 "feriale"
"664" 7 0.52 "feriale"
"64" 7.25 0.64 "feriale"
"331" 7.35 0.6 "feriale"
"840" 7.51 0.63 "feriale"
"884" 6.26 0.46 "feriale"
"678" 8.57 0.64 "feriale"
"1061" 6.57 0.4 "festivo"
"198" 7.67 0.68 "feriale"
"334" 6.65 0.57 "feriale"
"463" 7.86 0.49 "feriale"
"632" 8.04 0.58 "feriale"
"359" 8.98 0.57 "feriale"
"302" 7.49 0.69 "feriale"
"1023" 8.88 0.56 "festivo"
"1062" 7.35 0.47 "festivo"
"16" 6.78 0.53 "feriale"
"1073" 8.56 0.55 "festivo"
"207" 8.28 0.63 "feriale"
"994" 8.33 0.57 "festivo"
"652" 6.67 0.51 "feriale"
"1102" 6.22 0.36 "festivo"
"618" 7.53 0.66 "feriale"
"621" 6.45 0.48 "feriale"
"981" 8.7 0.62 "festivo"
"791" 7.33 0.58 "feriale"
"782" 6.62 0.46 "feriale"
"951" 7.56 0.43 "festivo"
"404" 7.41 0.59 "feriale"
"227" 6.91 0.66 "feriale"
"255" 6.28 0.44 "feriale"
"771" 6.89 0.49 "feriale"
"418" 6.62 0.5 "feriale"
"398" 8.44 0.62 "feriale"
"360" 8.65 0.65 "feriale"
"499" 8.18 0.56 "feriale"
"807" 6.12 0.36 "feriale"
"871" 8.32 0.63 "feriale"
"794" 8.51 0.55 "feriale"
"720" 8.95 0.55 "feriale"
"659" 7.11 0.62 "feriale"
"925" 7.62 0.55 "festivo"
"29" 7.05 0.55 "feriale"
"541" 6.27 0.55 "feriale"
"72" 8.78 0.65 "feriale"
"1001" 8.19 0.46 "festivo"
"779" 8.43 0.62 "feriale"
"1004" 6.99 0.4 "festivo"
"507" 7.6 0.6 "feriale"
"394" 7.8 0.61 "feriale"
"1029" 8.46 0.54 "festivo"
"622" 7.53 0.63 "feriale"
"563" 6.95 0.55 "feriale"
"128" 7.68 0.52 "feriale"
"874" 6.72 0.47 "feriale"
"741" 7.51 0.61 "feriale"
"46" 6.25 0.44 "feriale"
"843" 8.5 0.63 "feriale"
"504" 6.68 0.53 "feriale"
"700" 8.64 0.62 "feriale"
"893" 6.94 0.53 "feriale"
"1070" 7.24 0.56 "festivo"
"740" 7.66 0.58 "feriale"
"956" 8.65 0.62 "festivo"
"822" 8.54 0.62 "feriale"
"325" 7.57 0.67 "feriale"
"39" 6.27 0.44 "feriale"
"999" 7.55 0.51 "festivo"
"170" 8.12 0.55 "feriale"
"496" 6.97 0.61 "feriale"
"288" 7.24 0.54 "feriale"
"633" 8.2 0.54 "feriale"
"736" 6.26 0.45 "feriale"
"338" 8.33 0.59 "feriale"
"1089" 6.11 0.42 "festivo"
"426" 8.85 0.61 "feriale"
"998" 8.29 0.53 "festivo"
"1010" 7.45 0.54 "festivo"
"216" 8.77 0.57 "feriale"
"52" 8.84 0.61 "feriale"
"250" 8.5 0.71 "feriale"
"1107" 7.89 0.58 "festivo"
"457" 8.3 0.64 "feriale"
"435" 6.11 0.51 "feriale"
"176" 8.34 0.67 "feriale"
"961" 6.25 0.44 "festivo"
"254" 6.88 0.56 "feriale"
"595" 7.16 0.6 "feriale"
"374" 6.13 0.43 "feriale"
"19" 7.21 0.56 "feriale"
"38" 6.75 0.46 "feriale"
"495" 8.34 0.57 "feriale"
"869" 7.59 0.57 "feriale"
"1048" 7.14 0.46 "festivo"
"1120" 8.26 0.55 "festivo"
"1037" 7.76 0.55 "festivo"
"686" 6.36 0.36 "feriale"
"384" 8.04 0.62 "feriale"
"466" 6.81 0.5 "feriale"
"955" 7.33 0.52 "festivo"
"343" 8.2 0.61 "feriale"
"1003" 7.52 0.52 "festivo"
"485" 8.81 0.56 "feriale"
"307" 7.87 0.57 "feriale"
"169" 6.84 0.52 "feriale"
"882" 8.86 0.53 "feriale"
"439" 6.96 0.55 "feriale"
"376" 8.03 0.56 "feriale"
"1057" 6.12 0.45 "festivo"
"833" 6.44 0.42 "feriale"
"647" 8.51 0.62 "feriale"
"897" 7.82 0.57 "feriale"
"443" 7.09 0.54 "feriale"
"403" 6.91 0.58 "feriale"
"1012" 7.31 0.39 "festivo"
"831" 8.96 0.58 "feriale"
"83" 8.21 0.67 "feriale"
"850" 7.79 0.72 "feriale"
"819" 7.84 0.67 "feriale"
"1111" 8.68 0.68 "festivo"
"1" 7.7 0.56 "feriale"
"906" 6.11 0.45 "feriale"
"1024" 8.1 0.59 "festivo"
"916" 8.83 0.61 "festivo"
"540" 8.08 0.63 "feriale"
"1126" 6.02 0.38 "festivo"
"415" 8.34 0.65 "feriale"
"898" 6.17 0.45 "feriale"
"237" 8.5 0.59 "feriale"
"631" 7.78 0.57 "feriale"
"588" 7.09 0.52 "feriale"
"899" 7.22 0.53 "feriale"
"972" 7.96 0.51 "festivo"
"718" 8.3 0.53 "feriale"
"848" 8.43 0.61 "feriale"
"336" 8.34 0.64 "feriale"
"549" 8.91 0.6 "feriale"
"752" 7.66 0.54 "feriale"
"136" 8.15 0.63 "feriale"
"680" 7.31 0.59 "feriale"
"172" 7.6 0.6 "feriale"
"508" 8.98 0.64 "feriale"
"902" 6.9 0.52 "feriale"
"787" 6.35 0.47 "feriale"
"776" 8.05 0.67 "feriale"
"971" 6.52 0.42 "festivo"
"402" 7.2 0.59 "feriale"
"192" 8.71 0.68 "feriale"
"532" 6.93 0.52 "feriale"
"643" 8.11 0.64 "feriale"
"393" 8.56 0.67 "feriale"
"417" 8.55 0.56 "feriale"
"212" 7.93 0.63 "feriale"
"210" 7.84 0.58 "feriale"
"537" 6.79 0.45 "feriale"
"370" 6.17 0.51 "feriale"
"279" 8.4 0.56 "feriale"
"167" 8.89 0.54 "feriale"
"648" 8.66 0.47 "feriale"
"346" 6.64 0.47 "feriale"
"715" 6.92 0.6 "feriale"
"529" 6.23 0.5 "feriale"
"1042" 7.14 0.52 "festivo"
"1017" 7.25 0.48 "festivo"
"139" 8.75 0.59 "feriale"
"826" 7.95 0.68 "feriale"
"67" 6.54 0.51 "feriale"
"171" 8.21 0.65 "feriale"
"33" 8.99 0.54 "feriale"
"963" 7.05 0.51 "festivo"
"714" 8.57 0.63 "feriale"
"284" 8.86 0.52 "feriale"
"1098" 6.08 0.34 "festivo"
"240" 7.74 0.5 "feriale"
"362" 6.68 0.51 "feriale"
"521" 8.41 0.6 "feriale"
"1046" 7.26 0.44 "festivo"
"501" 6.46 0.52 "feriale"
"805" 8.41 0.62 "feriale"
"564" 6.13 0.41 "feriale"
"709" 8.46 0.65 "feriale"
"396" 6.07 0.42 "feriale"
"40" 6.44 0.59 "feriale"
"726" 7.72 0.65 "feriale"
"811" 8.36 0.64 "feriale"
"764" 8.91 0.58 "feriale"
"766" 6.12 0.42 "feriale"
"1050" 7.85 0.52 "festivo"
"330" 6.26 0.52 "feriale"
"245" 8.43 0.61 "feriale"
"106" 7.49 0.6 "feriale"
"903" 8.36 0.71 "feriale"
"144" 7.43 0.6 "feriale"
"147" 6.37 0.48 "feriale"
"471" 7.33 0.64 "feriale"
"539" 6.68 0.52 "feriale"
"293" 8.68 0.52 "feriale"
"1090" 8.17 0.57 "festivo"
"988" 7.95 0.55 "festivo"
"891" 6.63 0.5 "feriale"
"948" 8.86 0.57 "festivo"
"668" 8.45 0.68 "feriale"
"425" 8.95 0.6 "feriale"
"959" 6.66 0.42 "festivo"
"348" 6.58 0.55 "feriale"
"1063" 7.88 0.53 "festivo"
"1088" 8.09 0.5 "festivo"
"470" 7.18 0.59 "feriale"
"784" 6.14 0.51 "feriale"
"148" 7.01 0.6 "feriale"
"1032" 6 0.32 "festivo"
"839" 8.1 0.6 "feriale"
"1074" 6.67 0.45 "festivo"
"1116" 6.73 0.46 "festivo"
"142" 7.16 0.57 "feriale"
"151" 8.53 0.65 "feriale"
"690" 7.84 0.69 "feriale"
"623" 8.3 0.61 "feriale"
"140" 8.96 0.59 "feriale"
"824" 8.96 0.57 "feriale"
"660" 6.93 0.45 "feriale"
"970" 7.97 0.61 "festivo"
"562" 7.5 0.61 "feriale"
"551" 8.24 0.62 "feriale"
"746" 8.78 0.59 "feriale"
"731" 8.14 0.61 "feriale"
"71" 7.54 0.67 "feriale"
"267" 6.8 0.51 "feriale"
"380" 7.44 0.59 "feriale"
"669" 7.79 0.52 "feriale"
"792" 6.73 0.58 "feriale"
"1021" 6.47 0.39 "festivo"
"911" 7.96 0.54 "festivo"
"221" 8.55 0.65 "feriale"
"157" 6.27 0.43 "feriale"
"830" 6.7 0.51 "feriale"
"769" 7.43 0.52 "feriale"
"986" 7.65 0.54 "festivo"
"589" 8.62 0.62 "feriale"
"50" 7.64 0.7 "feriale"
"870" 6.7 0.49 "feriale"
"355" 8.71 0.64 "feriale"
"542" 6.71 0.52 "feriale"
"410" 7.73 0.61 "feriale"
"268" 8.35 0.63 "feriale"
"258" 8.68 0.58 "feriale"
"156" 6.66 0.54 "feriale"
"666" 8.48 0.56 "feriale"
"1117" 7.92 0.59 "festivo"
"213" 6.24 0.45 "feriale"
"449" 6.11 0.4 "feriale"
"697" 7.01 0.58 "feriale"
"711" 7.52 0.55 "feriale"
"912" 8.37 0.52 "festivo"
"24" 7.49 0.63 "feriale"
"832" 8.24 0.6 "feriale"
"977" 6.13 0.41 "festivo"
"867" 8.3 0.59 "feriale"
"354" 6.52 0.5 "feriale"
"534" 8.66 0.58 "feriale"
"6" 8.12 0.63 "feriale"
"350" 8.05 0.62 "feriale"
"505" 7.18 0.57 "feriale"
"560" 7.34 0.62 "feriale"
"1066" 6.86 0.48 "festivo"
"590" 7.29 0.58 "feriale"
"309" 7.69 0.74 "feriale"
"98" 7.54 0.5 "feriale"
"395" 6.94 0.59 "feriale"
"856" 8.82 0.58 "feriale"
"1118" 8 0.59 "festivo"
"155" 8.4 0.59 "feriale"
"199" 6.77 0.52 "feriale"
"627" 6.71 0.56 "feriale"
"968" 8.42 0.55 "festivo"
"375" 7.77 0.58 "feriale"
"597" 6.17 0.48 "feriale"
"855" 8.3 0.57 "feriale"
"879" 6.06 0.35 "feriale"
"694" 8.99 0.58 "feriale"
"408" 7.72 0.65 "feriale"
"573" 8.74 0.66 "feriale"
"683" 6.04 0.36 "feriale"
"49" 8.69 0.58 "feriale"
"931" 7.99 0.56 "festivo"
"536" 6.39 0.53 "feriale"
"655" 7.9 0.55 "feriale"
"371" 7.65 0.56 "feriale"
"472" 7.28 0.56 "feriale"
"661" 6.26 0.44 "feriale"
"1041" 8.19 0.54 "festivo"
"673" 8.64 0.59 "feriale"
"677" 6.2 0.33 "feriale"
"42" 8.39 0.59 "feriale"
"785" 8.75 0.64 "feriale"
"166" 8.7 0.62 "feriale"
"586" 8.65 0.66 "feriale"
"318" 7.39 0.66 "feriale"
"97" 8.89 0.56 "feriale"
"1108" 6.57 0.52 "festivo"
"131" 6.65 0.45 "feriale"
"605" 8.53 0.59 "feriale"
"312" 8.21 0.47 "feriale"
"553" 7.15 0.51 "feriale"
"162" 7.44 0.56 "feriale"
"917" 7.82 0.53 "festivo"
"110" 7.7 0.59 "feriale"
"979" 7.87 0.58 "festivo"
"1005" 7.46 0.48 "festivo"
"630" 7.06 0.51 "feriale"
"808" 8.23 0.57 "feriale"
"165" 8.84 0.59 "feriale"
"531" 7.46 0.65 "feriale"
"801" 8.66 0.68 "feriale"
"204" 6.18 0.47 "feriale"
"387" 8.12 0.67 "feriale"
"315" 8.64 0.66 "feriale"
"881" 8.4 0.69 "feriale"
"751" 8.23 0.56 "feriale"
"31" 8.33 0.59 "feriale"
"789" 6.53 0.46 "feriale"
"1065" 8.6 0.55 "festivo"
"48" 7.42 0.6 "feriale"
"1038" 8.03 0.61 "festivo"
"477" 8.92 0.54 "feriale"
"405" 7.33 0.54 "feriale"
"997" 6.84 0.48 "festivo"
"570" 8.39 0.63 "feriale"
"861" 8.97 0.66 "feriale"
"914" 6.36 0.48 "festivo"
"215" 7.8 0.59 "feriale"
"512" 6.96 0.42 "feriale"
"910" 6.4 0.4 "festivo"
"768" 6.25 0.51 "feriale"
"160" 7.44 0.61 "feriale"
"479" 8.41 0.58 "feriale"
"716" 8.07 0.58 "feriale"
"247" 7.25 0.66 "feriale"
"1125" 7.51 0.48 "festivo"
"413" 7.41 0.7 "feriale"
"548" 6.75 0.5 "feriale"
"235" 8.44 0.68 "feriale"
"467" 7.98 0.65 "feriale"
"329" 8.52 0.64 "feriale"
"760" 6.64 0.59 "feriale"
"987" 6.99 0.48 "festivo"
"663" 6.15 0.35 "feriale"
"559" 8.85 0.52 "feriale"
"27" 7.86 0.66 "feriale"
"696" 8.5 0.62 "feriale"
"991" 8 0.51 "festivo"
"1064" 6.18 0.35 "festivo"
"691" 7.96 0.64 "feriale"
"651" 6.92 0.51 "feriale"
"825" 6.53 0.52 "feriale"
"286" 6.22 0.49 "feriale"
"416" 6.87 0.51 "feriale"
"232" 7.85 0.57 "feriale"
"735" 7.6 0.65 "feriale"
"1075" 6.76 0.4 "festivo"
"713" 7.35 0.51 "feriale"
"448" 6.83 0.62 "feriale"
"546" 6.37 0.52 "feriale"
"572" 6.08 0.25 "feriale"
"233" 8.57 0.6 "feriale"
"1093" 6.45 0.43 "festivo"
"865" 6.3 0.51 "feriale"
"298" 8.17 0.69 "feriale"
"278" 8.04 0.56 "feriale"
"383" 7.63 0.55 "feriale"
"1030" 7.4 0.53 "festivo"
"164" 7.5 0.59 "feriale"
"816" 6.48 0.53 "feriale"
"786" 6.92 0.62 "feriale"
"814" 8.38 0.64 "feriale"
"43" 8.48 0.63 "feriale"
"311" 8.69 0.62 "feriale"
"796" 8.42 0.59 "feriale"
"239" 7.62 0.63 "feriale"
"581" 7.76 0.62 "feriale"
"679" 7.93 0.66 "feriale"
"767" 6.14 0.43 "feriale"
"721" 7.85 0.57 "feriale"
"637" 8 0.67 "feriale"
"594" 8.94 0.6 "feriale"
"762" 8.21 0.59 "feriale"
"557" 6.76 0.49 "feriale"
"706" 8.62 0.59 "feriale"
"702" 6.26 0.37 "feriale"
"184" 7.73 0.57 "feriale"
"941" 6.39 0.44 "festivo"
"592" 7.4 0.59 "feriale"
"145" 8.28 0.61 "feriale"
"226" 8.47 0.61 "feriale"
"56" 7.79 0.6 "feriale"
"859" 8.76 0.57 "feriale"
"345" 8.27 0.69 "feriale"
"759" 8.16 0.69 "feriale"
"86" 6.21 0.47 "feriale"
"175" 8.54 0.69 "feriale"
"458" 7.3 0.55 "feriale"
"667" 7.95 0.59 "feriale"
"755" 7.05 0.58 "feriale"
"1079" 6.21 0.39 "festivo"
"206" 8.75 0.67 "feriale"
"699" 8.86 0.61 "feriale"
"84" 8.32 0.63 "feriale"
"873" 6.26 0.6 "feriale"
"340" 8.65 0.61 "feriale"
"744" 8.23 0.54 "feriale"
"1105" 8.7 0.57 "festivo"
"580" 7.95 0.72 "feriale"
"208" 6.32 0.52 "feriale"
"846" 7.18 0.53 "feriale"
"885" 6.3 0.44 "feriale"
"799" 6.34 0.45 "feriale"
"675" 7.21 0.51 "feriale"
"1069" 8.56 0.62 "festivo"
"940" 6.49 0.53 "festivo"
"728" 6.8 0.52 "feriale"
"188" 7.83 0.54 "feriale"
"503" 7.67 0.71 "feriale"
"934" 6.16 0.36 "festivo"
"45" 6.03 0.36 "feriale"
"70" 6.76 0.5 "feriale"
"3" 8.25 0.55 "feriale"
"30" 6.7 0.55 "feriale"
"554" 7.12 0.61 "feriale"
"1097" 8.47 0.61 "festivo"
"251" 6.17 0.46 "feriale"
"351" 8.87 0.67 "feriale"
"433" 6.46 0.54 "feriale"
"566" 8.98 0.63 "feriale"
"857" 6.38 0.5 "feriale"
"985" 6.88 0.42 "festivo"
"923" 8.67 0.59 "festivo"
"452" 6.68 0.53 "feriale"
"74" 7.27 0.57 "feriale"
"464" 7.39 0.6 "feriale"
"753" 7.37 0.58 "feriale"
"892" 6.8 0.55 "feriale"
"626" 6.43 0.49 "feriale"
"795" 6.74 0.5 "feriale"
"834" 7.61 0.65 "feriale"
"625" 8.22 0.61 "feriale"
"649" 6.34 0.45 "feriale"
"126" 6.62 0.61 "feriale"
"195" 6.89 0.51 "feriale"
"815" 8.46 0.64 "feriale"
"187" 8.99 0.54 "feriale"
"11" 7.53 0.64 "feriale"
"502" 7.25 0.54 "feriale"
"520" 7.02 0.66 "feriale"
"681" 8.9 0.6 "feriale"
"615" 6.67 0.47 "feriale"
"491" 6.31 0.52 "feriale"
"837" 8.7 0.59 "feriale"
"705" 6.09 0.44 "feriale"
"138" 6.36 0.39 "feriale"
"724" 8.59 0.67 "feriale"
"332" 6.57 0.5 "feriale"
"116" 6.27 0.4 "feriale"
"644" 6.71 0.53 "feriale"
"823" 6.69 0.44 "feriale"
"327" 8.48 0.55 "feriale"
"915" 7.8 0.47 "festivo"
"445" 8.51 0.64 "feriale"
"159" 6.21 0.51 "feriale"
"900" 8.09 0.7 "feriale"
"962" 6.15 0.4 "festivo"
"913" 7.57 0.53 "festivo"
"645" 8.53 0.63 "feriale"
"77" 6.82 0.49 "feriale"
"57" 8.54 0.62 "feriale"
"304" 7.85 0.71 "feriale"
"484" 8.17 0.68 "feriale"
"642" 8.57 0.69 "feriale"
"777" 8.34 0.64 "feriale"
"944" 6.34 0.44 "festivo"
"1081" 7.24 0.44 "festivo"
"1083" 8.51 0.59 "festivo"
"1082" 8.27 0.53 "festivo"
"454" 7.07 0.6 "feriale"
"943" 6.65 0.39 "festivo"
"285" 6.04 0.47 "feriale"
"261" 6.42 0.49 "feriale"
"935" 7.2 0.45 "festivo"
"82" 8.91 0.6 "feriale"
"480" 6.31 0.39 "feriale"
"7" 6.38 0.43 "feriale"
"1100" 7.47 0.52 "festivo"
"886" 8.43 0.63 "feriale"
"177" 8.46 0.63 "feriale"
"608" 7.56 0.62 "feriale"
"385" 7.87 0.64 "feriale"
"275" 8.94 0.57 "feriale"
"319" 7.32 0.62 "feriale"
"22" 7.29 0.6 "feriale"
"149" 7.65 0.6 "feriale"
"135" 6.19 0.47 "feriale"
"229" 6.56 0.52 "feriale"
"809" 7.57 0.57 "feriale"
"926" 7.3 0.51 "festivo"
"509" 7.47 0.64 "feriale"
"297" 7.7 0.52 "feriale"
"122" 7.99 0.65 "feriale"
"290" 7.03 0.56 "feriale"
"601" 7.71 0.63 "feriale"
"431" 6.32 0.41 "feriale"
"217" 7.84 0.62 "feriale"
"429" 6.68 0.48 "feriale"
"793" 7.21 0.54 "feriale"
"836" 8.69 0.57 "feriale"
"877" 8.71 0.61 "feriale"
"194" 6.43 0.38 "feriale"
"552" 7.41 0.58 "feriale"
"1067" 8.2 0.54 "festivo"
"745" 7.24 0.49 "feriale"
"363" 7.34 0.66 "feriale"
"634" 8.98 0.59 "feriale"
"1124" 7.04 0.4 "festivo"
"924" 6.28 0.33 "festivo"
"308" 7.69 0.59 "feriale"
"734" 7 0.61 "feriale"
"108" 7.27 0.67 "feriale"
"88" 6.29 0.56 "feriale"
"196" 6.99 0.59 "feriale"
"875" 8.16 0.74 "feriale"
"983" 6.45 0.41 "festivo"
"400" 8.09 0.66 "feriale"
"1095" 6.85 0.42 "festivo"
"406" 7.43 0.51 "feriale"
"1071" 7.92 0.46 "festivo"
"323" 8.17 0.6 "feriale"
"1099" 8.76 0.58 "festivo"
"945" 6.85 0.47 "festivo"
"1085" 7.9 0.52 "festivo"
"73" 6.87 0.52 "feriale"
"488" 7.08 0.49 "feriale"
"305" 8.64 0.62 "feriale"
"282" 7.96 0.55 "feriale"
"273" 8.66 0.64 "feriale"
"211" 6.5 0.51 "feriale"
"498" 6.2 0.47 "feriale"
"1054" 8.36 0.52 "festivo"
"904" 6.38 0.44 "feriale"
"390" 7.42 0.61 "feriale"
"69" 6.61 0.52 "feriale"
"996" 7.89 0.5 "festivo"
"602" 6.69 0.55 "feriale"
"500" 6.52 0.5 "feriale"
"543" 8.63 0.61 "feriale"
"341" 8.3 0.62 "feriale"
"295" 6.26 0.56 "feriale"
"377" 8.6 0.63 "feriale"
"289" 6.2 0.48 "feriale"
"271" 8.86 0.64 "feriale"
"727" 6.39 0.52 "feriale"
"182" 8.54 0.58 "feriale"
"672" 8.83 0.67 "feriale"
"674" 8.7 0.64 "feriale"
"382" 8.46 0.61 "feriale"
"17" 8.86 0.6 "feriale"
"982" 8.26 0.5 "festivo"
"1014" 8.62 0.5 "festivo"
"44" 6.76 0.49 "feriale"
"438" 8.24 0.66 "feriale"
"780" 6.41 0.42 "feriale"
"158" 7.29 0.6 "feriale"
"276" 7.75 0.66 "feriale"
"473" 7.98 0.67 "feriale"
"517" 8.1 0.64 "feriale"
"335" 7.15 0.53 "feriale"
"939" 7.74 0.51 "festivo"
"739" 7.85 0.66 "feriale"
"231" 6.39 0.49 "feriale"
"244" 6.92 0.54 "feriale"
"59" 6.11 0.41 "feriale"
"682" 7.65 0.55 "feriale"
"761" 8.5 0.59 "feriale"
"259" 7.55 0.56 "feriale"
"150" 8.72 0.62 "feriale"
"115" 7.43 0.63 "feriale"
"397" 7.45 0.63 "feriale"
"28" 7.02 0.58 "feriale"
"685" 7.69 0.67 "feriale"
"880" 7.1 0.62 "feriale"
"1092" 8.14 0.63 "festivo"
"1008" 8.54 0.64 "festivo"
"489" 8.42 0.58 "feriale"
"2" 6.56 0.55 "feriale"
"141" 6.66 0.51 "feriale"
"544" 7.62 0.68 "feriale"
"947" 6.42 0.43 "festivo"
"654" 6.91 0.52 "feriale"
"1053" 7.8 0.62 "festivo"
"487" 7.74 0.66 "feriale"
"493" 7.61 0.53 "feriale"
"61" 8.79 0.59 "feriale"
"1045" 6.98 0.49 "festivo"
"650" 7.89 0.65 "feriale"
"958" 8.51 0.62 "festivo"
"179" 8.2 0.69 "feriale"
"265" 8.76 0.62 "feriale"
"806" 7.62 0.59 "feriale"
"333" 8.36 0.64 "feriale"
"193" 6.39 0.46 "feriale"
"301" 7.09 0.56 "feriale"
"230" 6.49 0.46 "feriale"
"530" 6.57 0.57 "feriale"
"704" 7.88 0.6 "feriale"
"274" 8.04 0.55 "feriale"
"640" 8.16 0.7 "feriale"
"1022" 7.69 0.56 "festivo"
"828" 6.27 0.3 "feriale"
"369" 7.92 0.74 "feriale"
"364" 7.13 0.57 "feriale"
"738" 8.47 0.66 "feriale"
