"mass" "energy" "reaction"
"112" "23.59" "22.83" "fission"
"113" "19.276" "18.324" "fission"
"114" "14.744" "14.115" "fission"
"115" "16.591" "14.571" "fission"
"116" "12.563" "11.451" "fission"
"117" "30.508" "29.402" "fission"
"118" "18.162" "17.878" "fission"
"119" "13.612" "13.111" "fission"
"120" "29.894" "26.527" "fission"
"121" "17.128" "17.687" "fission"
"122" "22.867" "21.924" "fission"
"123" "26.956" "28.89" "fission"
"124" "24.113" "27.493" "fission"
"125" "13.48" "15.006" "fission"
"126" "11.03" "7.398" "fission"
"127" "18.739" "17.31" "fission"
"128" "9.31" "9.212" "fission"
"129" "18.696" "18.02" "fission"
"130" "26.554" "26.402" "fission"
"131" "19.133" "20.323" "fission"
"132" "15.053" "16.113" "fission"
"133" "27.331" "25.256" "fission"
"134" "22.157" "18.206" "fission"
"135" "22.308" "22.614" "fission"
"136" "23.424" "22.632" "fission"
"137" "24.879" "27.283" "fission"
"138" "20.109" "21.684" "fission"
"139" "16.437" "18.721" "fission"
"140" "16.993" "18.304" "fission"
"141" "10.194" "11.182" "fission"
"142" "13.415" "13.307" "fission"
"143" "36.298" "35.58" "fission"
"144" "16.839" "13.399" "fission"
"145" "25.111" "22.711" "fission"
"146" "26.908" "26.998" "fission"
"147" "24.174" "22.347" "fission"
"148" "21.193" "21.987" "fission"
"149" "16.475" "21.349" "fission"
"150" "29.865" "27.926" "fission"
"151" "10.782" "9.399" "fission"
"152" "18.217" "20.26" "fission"
"153" "27.468" "29.2" "fission"
"154" "9.932" "13.074" "fission"
"155" "34.075" "31.451" "fission"
"156" "17.575" "18.194" "fission"
"157" "22.338" "21.461" "fission"
"158" "23.351" "24.894" "fission"
"159" "24.389" "24.663" "fission"
"160" "19.589" "21.493" "fission"
"161" "31.862" "29.763" "fission"
"162" "32.338" "34.181" "fission"
"163" "24.27" "25.705" "fission"
"164" "24.099" "20.755" "fission"
"165" "16.348" "20.207" "fission"
"166" "18.98" "15.386" "fission"
"167" "19.646" "20.062" "fission"
"168" "21.343" "21.349" "fission"
"169" "23.172" "22.663" "fission"
"170" "21.553" "21.839" "fission"
"171" "24.024" "23.263" "fission"
"172" "19.775" "18.922" "fission"
"173" "18.62" "17.201" "fission"
"174" "33.271" "31.966" "fission"
"175" "27.14" "29.269" "fission"
"176" "19.87" "18.646" "fission"
"177" "29.969" "27.843" "fission"
"178" "14.167" "11.963" "fission"
"179" "19.762" "21.646" "fission"
"180" "20.393" "18.444" "fission"
"181" "20.981" "20.164" "fission"
"182" "16.686" "18.847" "fission"
"183" "15.698" "12.663" "fission"
"184" "23.372" "22.375" "fission"
"185" "24.287" "22.654" "fission"
"186" "19.51" "20.161" "fission"
"187" "19.715" "19.711" "fission"
"188" "27.732" "28.03" "fission"
"189" "26.551" "26.952" "fission"
"190" "16.349" "16.859" "fission"
"191" "25.31" "24.664" "fission"
"192" "19.095" "17.249" "fission"
"193" "15.454" "13.936" "fission"
"194" "22.511" "22.338" "fission"
"195" "20.945" "20.192" "fission"
"196" "33.732" "31.516" "fission"
"197" "24.897" "23.587" "fission"
"198" "14.686" "16.424" "fission"
"199" "17.231" "17.877" "fission"
"200" "22.412" "26.296" "fission"
