"Durata" "Ritardo_arrivo" "Ritardo_partenza"
"100" 6.39 -0.01 0.15
"101" 6.37 0.04 0.15
"102" 6.46 -0.07 0.06
"103" 6.5 -0.03 -0.07
"104" 6.46 0.02 0
"105" 6.29 0.11 0.15
"106" 6.45 -0.13 -0.02
"107" 6.64 0.04 -0.16
"108" 6.62 -0.13 -0.11
"109" 6.36 0.07 0.14
"110" 6.34 0.27 0.15
"111" 6.27 -0.06 0.21
"112" 6.49 0.27 0.04
"113" 6.53 0.01 0.01
"114" 6.44 0.13 0.09
"115" 6.33 0 0.19
"116" 6.43 -0.15 0.09
"117" 6.41 -0.01 0.13
"118" 6.57 0.04 -0.11
"119" 6.36 -0.11 0.12
"120" 6.39 0.16 0.08
"121" 6.49 -0.04 0
"122" 6.43 -0.05 0.12
"123" 6.5 0.02 0.01
"124" 6.46 0.08 0.03
"125" 6.31 0.02 0.09
"126" 6.29 0.06 0.24
"127" 6.56 -0.05 -0.08
"128" 6.42 0.02 0.12
"129" 6.56 0.18 -0.09
"130" 6.35 0.03 0.17
"131" 6.4 0.17 0.08
"132" 6.64 -0.17 -0.1
"133" 6.35 -0.16 0.16
"134" 6.38 -0.01 0.12
"135" 6.48 0.19 0.01
"136" 6.32 0 0.11
"137" 6.43 0.18 0.03
"138" 6.51 0.1 0.04
"139" 6.34 0.07 0.13
"140" 6.56 0.15 -0.07
"141" 6.48 -0.11 0.04
"142" 6.36 0.03 0.08
"143" 6.53 0.08 -0.03
"144" 6.53 -0.19 -0.06
"145" 6.63 -0.1 -0.17
"146" 6.62 0.05 -0.14
"147" 6.44 0.16 -0.06
"148" 6.45 0.04 0.04
"149" 6.54 0.05 -0.02
"150" 6.54 0.04 -0.02
"151" 6.43 -0.11 0.05
"152" 6.51 -0.03 0.04
"153" 6.41 -0.15 0.05
"154" 6.46 -0.1 0.04
"155" 6.37 0.13 0.16
"156" 6.47 -0.11 -0.03
"157" 6.53 0.2 0.02
"158" 6.22 0.09 0.23
"159" 6.46 0.07 0.01
"160" 6.59 -0.21 -0.07
"161" 6.34 -0.02 0.17
"162" 6.57 -0.1 -0.02
"163" 6.56 0.09 -0.05
"164" 6.36 0 0.11
"165" 6.65 0.06 -0.09
"166" 6.54 0.08 0.02
"167" 6.58 -0.12 -0.01
"168" 6.41 -0.14 0.09
"169" 6.54 -0.04 -0.02
"170" 6.37 0.03 0.15
"171" 6.48 0.08 0
"172" 6.25 -0.08 0.19
"173" 6.53 -0.17 0.06
"174" 6.34 -0.01 0.22
"175" 6.36 -0.01 0.06
"176" 6.26 -0.02 0.26
"177" 6.44 0 0.05
"178" 6.38 0.3 0.06
"179" 6.36 -0.07 0.19
"180" 6.3 0.14 0.15
"181" 6.42 0.07 0.03
"182" 6.37 0.03 0.15
"183" 6.47 0.12 0.03
"184" 6.54 -0.14 -0.14
"185" 6.48 -0.03 0.03
"186" 6.47 -0.13 0.01
"187" 6.49 -0.23 -0.05
"188" 6.36 -0.06 0.05
"189" 6.42 0.12 0.09
"190" 6.47 0.02 -0.02
"191" 6.59 0.1 -0.16
"192" 6.46 0.08 0.03
"193" 6.39 -0.06 0.13
"194" 6.42 0.02 0.08
"195" 6.54 -0.03 -0.05
"196" 6.5 0.12 0.06
"197" 6.42 -0.02 0.06
"198" 6.5 -0.31 -0.03
"199" 6.31 0.07 0.16
"200" 6.42 0.07 0.12
"201" 6.56 -0.05 -0.07
"202" 6.5 0.04 -0.05
"203" 6.48 0.01 0.03
"204" 6.57 -0.15 -0.1
"205" 6.59 0.14 -0.1
"206" 6.27 0.16 0.15
"207" 6.33 0.01 0.22
"208" 6.43 0.02 0.07
"209" 6.47 0.09 0.06
"210" 6.32 0.17 0.17
"211" 6.42 -0.06 0.06
"212" 6.5 -0.11 0.05
"213" 6.43 -0.01 0.08
"214" 6.57 -0.07 -0.09
"215" 6.31 0.03 0.2
"216" 6.66 -0.08 -0.09
"217" 6.6 -0.02 -0.09
"218" 6.55 0.17 -0.02
"219" 6.33 0.05 0.21
"220" 6.41 0.14 0.16
"221" 6.33 0.01 0.18
"222" 6.39 0.08 0.08
"223" 6.55 0 -0.05
"224" 6.7 0.09 -0.23
"225" 6.43 0.07 0.09
"226" 6.59 -0.12 -0.16
"227" 6.39 -0.09 0.08
"228" 6.46 -0.07 0.03
"229" 6.42 -0.07 0.1
"230" 6.42 0.08 0.12
"231" 6.62 -0.12 -0.08
"232" 6.56 0.14 -0.09
"233" 6.39 0 0.09
"234" 6.44 -0.14 -0.01
"235" 6.36 -0.24 0.13
"236" 6.52 -0.11 -0.04
"237" 6.53 -0.12 -0.06
"238" 6.51 0.14 -0.02
"239" 6.43 0.12 0.05
"240" 6.47 -0.11 0.02
"241" 6.73 -0.06 -0.2
"242" 6.41 -0.12 0.1
"243" 6.39 0.08 0.13
"244" 6.5 -0.12 0.02
"245" 6.47 -0.05 0.06
"246" 6.45 0.02 0.03
"247" 6.54 0.15 0
"248" 6.28 -0.09 0.15
"249" 6.59 -0.01 -0.07
"250" 6.52 0.09 -0.05
"251" 6.52 0.03 -0.04
"252" 6.35 -0.01 0.14
"253" 6.43 0.17 0.14
"254" 6.54 0.13 -0.04
"255" 6.34 0.07 0.19
"256" 6.36 0.05 0.14
"257" 6.34 -0.07 0.17
"258" 6.48 0.07 0.01
"259" 6.42 0.15 0.11
"260" 6.38 -0.02 0.07
"261" 6.46 -0.09 0.05
"262" 6.29 0.06 0.14
"263" 6.4 0 0.1
"264" 6.49 -0.06 -0.07
"265" 6.51 0.06 -0.02
"266" 6.38 0.04 0.1
"267" 6.4 -0.02 0.05
"268" 6.43 -0.02 0.17
"269" 6.42 0.19 0.05
"270" 6.69 -0.23 -0.16
"271" 6.25 0.12 0.28
"272" 6.47 0.09 0
"273" 6.56 0.09 0.03
"274" 6.66 -0.17 -0.17
"275" 6.39 -0.04 0.11
"276" 6.55 0.14 0
"277" 6.52 -0.19 -0.01
"278" 6.42 0 0.06
"279" 6.32 -0.03 0.18
"280" 6.38 0.18 0.15
"281" 6.52 0.17 -0.09
"282" 6.42 -0.15 0.07
"283" 6.55 -0.17 0
"284" 6.67 -0.07 -0.11
"285" 6.65 -0.28 -0.09
"286" 6.33 -0.16 0.13
"287" 6.46 0.09 0.04
"288" 6.39 0.11 0.13
"289" 6.41 0 0.13
"290" 6.5 0.04 -0.04
"291" 6.46 -0.09 0.15
"292" 6.35 -0.06 0.15
"293" 6.49 0.06 0.05
"294" 6.6 -0.05 -0.12
"295" 6.34 0.01 0.16
"296" 6.51 -0.12 0
"297" 6.6 0.13 -0.07
"298" 6.48 -0.06 0.07
"299" 6.37 0.04 0.17
"300" 6.62 0.03 -0.15
"301" 6.37 0.19 0.1
"302" 6.43 0.03 0.02
"303" 6.48 -0.01 -0.05
"304" 6.38 -0.26 0.13
"305" 6.61 -0.05 -0.02
"306" 6.5 0.11 -0.03
"307" 6.38 0.08 0.1
"308" 6.52 0.21 0
"309" 6.37 -0.19 0.14
"310" 6.42 -0.08 0.04
"311" 6.51 -0.01 0
"312" 6.49 0.06 0.01
"313" 6.38 -0.04 0.14
"314" 6.54 0.06 -0.03
"315" 6.61 0.06 -0.08
"316" 6.39 -0.05 0.04
"317" 6.4 0.03 0.16
"318" 6.43 0.19 0.12
"319" 6.44 0.13 0.05
"320" 6.47 0.15 -0.03
"321" 6.3 -0.06 0.14
"322" 6.38 -0.23 0.11
"323" 6.49 0 0.03
"324" 6.42 0.06 -0.02
"325" 6.52 0.03 0.02
"326" 6.44 -0.06 0.03
"327" 6.48 0.13 0.02
"328" 6.24 -0.12 0.28
"329" 6.4 -0.02 0.01
"330" 6.42 0.06 0.11
"331" 6.49 -0.06 -0.04
"332" 6.42 0.07 0.08
"333" 6.63 0.12 -0.1
"334" 6.44 0.07 0
"335" 6.36 -0.11 0.14
"336" 6.43 -0.08 0.1
"337" 6.44 -0.02 0.11
"338" 6.52 0.01 -0.03
"339" 6.33 0.11 0.26
"340" 6.37 -0.06 0.15
"341" 6.4 -0.24 0.1
"342" 6.61 0.07 -0.06
"343" 6.66 0.02 -0.16
"344" 6.49 -0.03 0.07
"345" 6.37 -0.15 0.11
"346" 6.41 0.05 0.16
"347" 6.44 -0.17 0.08
"348" 6.31 0.1 0.2
"349" 6.52 -0.13 -0.01
"350" 6.36 0.01 0.14
"351" 6.47 -0.04 0.01
"352" 6.54 -0.03 -0.09
"353" 6.74 0.05 -0.22
"354" 6.48 0.06 0.02
"355" 6.39 -0.08 0.13
"356" 6.47 0.11 0.03
"357" 6.27 -0.16 0.22
"358" 6.69 -0.04 -0.19
"359" 6.25 -0.06 0.25
"360" 6.36 0.09 0.07
"361" 6.4 0.08 0.11
"362" 6.47 0.1 0.01
"363" 6.41 -0.01 0.11
"364" 6.36 0.17 0.2
"365" 6.34 0.16 0.21
"366" 6.58 0.03 -0.04
