"Carnaroli" "Gange" "Venere" "Basmati" "Patna"
"65" 1.51 2.35 35 4.44 0.92
"66" 0.76 2.38 34.54 3.85 1.17
"67" 1.66 2.3 34.78 4.15 0.93
"68" 1.64 3.05 35.18 4.19 1.08
"69" 1.73 2.89 35.35 3.43 1.28
"70" 1.22 2.5 34.88 4.13 0.83
"71" 1.2 2.1 34.73 3.21 0.86
"72" 1.69 2.48 35.38 3.49 1.27
"73" 1.62 2 34.97 3.71 0.57
"74" 1.4 2.68 34.65 4.83 1.07
"75" 1.51 2.52 35.06 4.1 0.99
"76" 1.53 2.73 35.12 4.26 1.28
"77" 1.17 2.65 34.8 4.16 0.86
"78" 1.45 2.73 34.89 3.99 1.23
"79" 1.24 2.28 34.79 3.52 0.83
"80" 1.68 2.78 35.14 3.81 1.32
"81" 1.58 2.38 35.08 4.19 0.9
"82" 1.64 2.84 35.14 3.93 1.23
"83" 1.79 2.6 35.16 4.64 1.22
"84" 1.42 2.19 34.97 3.67 0.94
"85" 1.22 2.52 34.63 4.09 1.05
"86" 0.93 1.88 34.66 3.99 0.71
"87" 1.72 2.87 35.31 4.43 1.14
"88" 1.65 2.57 35.18 3.76 1
"89" 1.57 2.26 35.11 3.64 1
"90" 1.18 2.47 34.98 4.61 1.12
"91" 1.6 3.11 34.96 4.06 1.17
"92" 1.61 2.8 35.12 3.52 0.93
"93" 1.68 2.71 35.06 4.16 1.05
"94" 1.62 2.84 35.11 4.1 0.91
"95" 1.46 2.48 35.02 3.67 1.09
"96" 1.1 2.5 34.94 4.41 1.07
"97" 1.31 2.6 34.71 4.69 0.93
"98" 1.52 2.4 35.28 3.77 1.05
"99" 1.35 2.23 34.92 3.75 0.85
"100" 1.58 2.36 35.44 3.72 1.02
"101" 1.53 1.85 35.07 4.09 1.09
"102" 1.46 2.72 34.77 4.58 1.11
"103" 1.49 1.99 35.24 4.2 0.86
"104" 1.71 2.81 34.87 3.57 0.94
"105" 1.38 2.49 34.81 4.33 0.74
"106" 1.37 2.58 34.92 4.06 0.87
"107" 1.16 2.46 34.83 4.29 0.85
"108" 1.42 2.35 35.11 3.53 1.03
"109" 1.36 2.51 35.08 4.12 1.2
"110" 1.15 2.08 34.82 3.81 0.77
"111" 1.67 2.67 35.34 3.84 1.03
"112" 1.41 2.49 34.97 3.74 1.25
"113" 1.64 2.61 35.26 4.2 1.36
"114" 1.49 2.58 35.24 4.2 0.99
"115" 1.51 2.43 34.99 3.85 0.76
"116" 1.52 2.28 34.86 3.75 0.86
"117" 1.09 2.12 34.86 3.68 0.66
"118" 1.63 2.45 35.02 4.34 0.71
"119" 1.64 2.68 35.22 3.54 1.13
"120" 1.7 3.18 34.98 4.44 1.04
"121" 1.53 1.95 35.2 4.07 0.86
"122" 1.59 2.31 35.08 3.64 0.92
"123" 1.49 2.44 34.98 3.51 0.78
"124" 1.71 2.77 34.77 4.47 1.07
"125" 1.24 2.74 34.95 3.49 0.94
"126" 0.99 2.51 34.54 3.35 0.92
"127" 1.55 2.51 34.88 3.42 1.05
"128" 1.56 2.3 35.14 3.68 0.88
"129" 1.78 3.33 34.94 3.99 0.94
"130" 1.4 2.34 35.04 3.75 1.12
"131" 1.36 2.38 35.22 4.54 1.14
"132" 1.38 2.54 35.07 3.07 1.08
"133" 1.55 2.1 34.89 3.56 1.11
"134" 2.14 2.61 35.19 3.97 0.76
"135" 1.51 2.35 35.01 3.5 0.84
"136" 1.31 2.43 34.71 3.69 0.85
"137" 1.44 2.18 35.13 4.37 1.21
"138" 1.47 2.24 35.12 4.1 1
"139" 1.34 2.31 34.82 3.81 0.9
"140" 1.34 2.3 34.76 3.78 0.78
"141" 1.37 2.16 35.05 3.1 1.12
"142" 0.9 2.1 33.93 4.33 0.6
"143" 1.33 2.78 34.65 3.37 0.82
"144" 1.8 2.78 35.24 4.08 0.96
"145" 1.61 2.83 34.97 4.07 1.16
"146" 1.37 2.32 35.01 4.17 1.21
"147" 1.65 3 34.88 4.51 1.07
"148" 1.26 2.48 34.58 3.6 0.88
"149" 1.24 2.69 34.67 4.01 0.8
"150" 1.21 2.22 34.82 3.42 1.03
"151" 1.75 2.32 35.32 3.77 0.91
"152" 1.42 2.84 34.77 3.87 1.05
"153" 1.49 2.6 34.62 3.8 0.84
"154" 1.66 2.2 35.37 3.9 1.08
"155" 1.23 2.66 34.64 4.21 0.98
"156" 1.65 2.57 35.34 4.33 1.24
"157" 1.15 2.49 34.51 4.35 0.88
"158" 1.53 2.2 35.03 4.29 0.83
"159" 1.01 2.48 34.66 3.77 0.87
"160" 1.75 2.94 34.99 3.22 0.62
"161" 1.66 2.74 35.39 4.29 1.24
"162" 1.26 2.35 34.88 3.73 0.84
"163" 1.81 2.32 34.94 3.94 0.83
"164" 1.48 2.82 34.94 3.91 1.13
"165" 1.45 2.25 34.98 3.7 1.03
"166" 1.55 2.72 35.03 4.3 1.19
"167" 1.65 2.78 35.33 4.44 1.17
"168" 1.35 2.3 35 4.02 1.17
"169" 1.57 2.53 35.1 4.44 1.11
"170" 1.24 2.23 35.03 3.38 0.94
"171" 1.55 2.63 35.06 4.34 1.09
"172" 1.59 2.61 35.07 4.4 1.26
"173" 1.75 2.63 35.18 4.56 1.33
"174" 1.6 2.7 35.27 4.18 1.39
"175" 1.76 2.56 35.14 3.94 1.04
"176" 1.31 1.72 35.21 4.22 0.85
"177" 1.65 2.22 34.93 4.26 0.79
"178" 1.59 2.54 35.11 4.45 1.14
"179" 1.66 2.47 35.12 4.5 0.86
"180" 1.54 2.16 35.29 3.34 1.12
"181" 1.25 2.07 35.1 3.23 0.87
"182" 1.46 2.53 35.02 3.68 1
"183" 1.46 2.63 35.28 3.48 1.22
"184" 1.43 2.55 34.97 4.27 1.13
"185" 1.29 2.48 35.09 3.93 1.16
"186" 1.28 2.03 34.69 4.18 0.86
"187" 1.62 2.91 35.32 3.87 1.48
"188" 1.52 2.52 35.21 4.12 1.23
"189" 1.55 2.58 34.85 3.5 0.8
"190" 1.4 2.15 34.9 3.79 0.85
"191" 1.14 2.46 34.74 3.46 1.02
"192" 1.71 2.55 35.09 4.22 0.9
"193" 1.24 2.68 34.7 3.89 1.01
"194" 1.58 2.55 35.05 3.84 1.18
"195" 1.51 2.25 35.01 4.43 0.99
"196" 1.5 2.56 34.89 4.2 1.06
"197" 1.46 2.32 35.29 4.76 1.09
"198" 1.57 2.86 35.11 4.61 1.16
"199" 1.36 2.21 34.89 3.71 0.7
"200" 1.32 2.51 34.79 3.29 0.78
"201" 1.8 2.28 34.98 4.09 0.66
"202" 1.38 2 35.09 4.12 0.72
"203" 1.64 2.8 35.09 4.82 0.96
"204" 1.57 2.36 35.09 4.21 0.93
"205" 1.43 2.45 34.92 3.92 1.04
"206" 1.6 2.58 35.14 3.62 1
"207" 1.19 1.89 34.78 3.37 0.79
"208" 1.36 2.25 35 3.69 1.1
"209" 1.7 3.08 34.7 5.2 0.99
"210" 1.31 2.54 34.8 3.89 1.19
"211" 1.37 2.31 35.08 3.29 1.36
"212" 1.27 2.41 34.93 3.71 0.92
"213" 1.23 2.37 34.72 4.31 1.17
"214" 1.24 2.45 34.73 4.04 0.75
"215" 1.48 2.42 34.59 3.96 0.75
"216" 1.82 2.78 35.07 3.89 1.02
"217" 1.84 2.71 34.91 3.53 1.05
"218" 1.57 2.39 34.91 3.8 0.98
"219" 1.56 2.59 34.79 4.08 0.7
"220" 1.08 2.25 34.66 3.36 0.82
"221" 1.47 2.26 35.02 3.4 1.01
"222" 1.7 2.5 35.4 3.72 0.9
"223" 1.31 2.41 34.64 3.76 1.07
"224" 1.63 2.85 34.89 4.1 1.23
"225" 1.47 2.42 34.73 3.44 0.86
"226" 1.31 2.01 34.88 3.54 0.93
"227" 1.15 2.45 34.9 4.02 0.91
"228" 1.51 2.27 34.93 4.15 0.92
"229" 1.55 2.53 34.92 3.88 1.07
"230" 1.48 2.41 35.53 4.47 1.36
"231" 1.75 3.16 35.31 3.5 1.27
"232" 1.39 2.5 34.66 3.87 0.83
"233" 1.14 2.46 35.07 3.5 1.25
"234" 1.61 2.78 34.94 4.76 1.16
"235" 1.18 2.3 34.74 3.73 0.85
"236" 1.59 2.23 35.41 4.65 1.18
"237" 1.13 2.12 34.78 4.11 1.07
"238" 1.61 2.59 35.1 3.45 1.11
"239" 1.52 2.74 35.1 4.83 1.08
"240" 1.79 2.56 35.49 4.26 1.2
"241" 1.2 2.34 34.5 3.75 0.39
"242" 1.48 2.24 34.96 4.04 0.86
"243" 1.55 2.69 35.05 4.06 0.93
"244" 1.37 2.49 35.36 4.28 1.27
"245" 1.61 2.09 35.21 4.34 1.1
"246" 1.6 2.6 35.02 4.43 1.06
"247" 1.48 2.05 35.29 3.79 0.86
"248" 1.76 2.45 35.31 3.45 1.08
"249" 1.56 2.37 35.09 4.05 0.87
"250" 1.13 2.44 34.48 3.7 0.77
"251" 1.73 3.14 35.02 3.99 1.02
"252" 1.64 2.68 35.05 3.92 0.88
"253" 1.63 2.33 34.85 4.21 0.87
"254" 1.34 2.36 34.97 3.43 1
"255" 1.39 2.15 35.06 3.56 0.88
"256" 1.43 2.62 34.87 4.24 1.06
"257" 1.34 2.12 34.85 4.04 1.02
"258" 1.71 2.5 35.24 4.56 1.18
"259" 1.77 2.55 34.91 4.11 0.98
"260" 1.41 2.39 35.03 4.24 1.31
"261" 1.57 2.44 35.39 4.04 1.06
"262" 1.74 2.78 35.27 4.81 1.06
"263" 2 2.61 35.6 3.4 1.34
"264" 1.67 2.4 35.36 4.34 1.1
"265" 1.58 2.5 35.09 4.42 0.82
"266" 1.02 1.94 34.51 3.11 0.65
"267" 1.53 2.64 35.15 3.44 1.12
"268" 1.45 2.24 35.15 4.23 0.94
"269" 1.58 2.29 35.19 4.37 0.75
"270" 1.13 2.34 34.8 4.23 1.12
"271" 1.44 2.08 35.05 3.79 0.69
"272" 1.65 2.79 34.94 4.54 0.89
"273" 1.28 1.92 34.56 3.78 0.63
"274" 1.58 2.39 35.32 4.24 1.17
"275" 1.66 2.8 34.95 4.1 1.07
"276" 1.67 2.77 35.22 3.99 1.21
"277" 1.44 2.55 34.89 3.6 1
"278" 1.82 2.61 35.25 4.37 1.11
"279" 1.59 2.56 35.02 3.65 0.87
"280" 1.45 2.64 34.87 4.54 0.93
"281" 1.76 2.46 35.39 3.97 1.12
"282" 1.35 2.97 34.61 4.18 1.12
"283" 1.33 2.51 35.1 4 1.26
"284" 1.73 2.44 34.96 3.87 0.75
"285" 1.68 2.58 34.82 3.2 0.85
"286" 1.52 2.85 35.04 4.27 1.29
"287" 1.71 2.85 35.1 4.08 0.88
"288" 1.85 2.66 35.34 5.13 1.07
"289" 1.65 3.18 34.95 4.39 1.19
"290" 1.78 2.62 34.95 4.28 0.69
"291" 1.59 2.52 34.81 3.63 0.88
"292" 1.65 2.38 34.96 4.08 1.03
"293" 1.65 2.54 35.2 4.36 1.12
"294" 1.46 2.56 34.94 4.32 0.95
"295" 1.44 2.13 34.94 3.48 0.89
"296" 1.52 2.07 35.05 4.46 0.82
"297" 1.33 2.94 34.61 4.15 0.85
"298" 1.58 2.09 35.13 3.33 0.91
"299" 1.57 2.35 34.68 4.04 0.97
"300" 1.41 2.15 34.91 3.87 0.77
"301" 1.34 1.93 34.68 3.67 0.8
"302" 1.61 2.51 34.84 3.87 0.75
"303" 1.63 2.09 34.99 3.68 0.9
"304" 1.35 2.74 34.85 3.67 1.22
"305" 1.6 2.54 34.98 3.8 0.82
"306" 2.05 2.8 35.23 3.85 0.85
"307" 1.37 2.37 35.38 3.62 0.93
"308" 1.55 2.56 35.06 4.19 1.09
"309" 1.52 2.61 35.28 4.21 1.3
"310" 1.19 2.4 34.5 3.91 0.72
"311" 0.96 2.03 34.93 3.6 1
"312" 1.9 2.58 35.3 4.01 1.2
"313" 1.62 2.87 34.9 4.11 1.04
"314" 1.46 2.33 34.87 4.41 0.71
"315" 1.45 2.56 34.95 4.37 0.78
"316" 1.63 2.89 34.7 3.99 1.04
"317" 1.46 2.84 34.89 4.08 1.14
"318" 1.22 2.7 34.64 4.11 1.04
"319" 1.37 2.58 34.74 4.75 0.85
"320" 1.44 2.48 34.98 3.29 1.05
"321" 1.22 2.29 34.73 3.49 0.84
"322" 1.5 2.32 34.83 3.92 0.93
"323" 1.23 2 34.84 3.75 1.05
"324" 1.33 1.94 35.12 4.11 0.96
"325" 1.72 2.42 35 4.18 1.01
"326" 1.57 2.82 35.12 4.93 1.13
"327" 1.03 2.03 34.46 4.17 0.49
"328" 1.35 2.74 34.81 4.05 1.02
"329" 1.73 2.78 35.07 4.22 1.21
"330" 1.33 2.79 34.98 3.74 1.04
"331" 1.66 2.61 34.89 3.93 0.95
"332" 1.62 2.69 35.04 4.52 0.93
"333" 1.52 2.18 34.97 3.83 0.7
"334" 1.57 2.59 34.89 3.83 0.76
"335" 1.57 1.9 35.06 4.04 0.84
"336" 1.55 2.48 35.07 4.28 1.15
"337" 1.42 2.37 34.89 3.2 0.83
"338" 1.43 2.71 34.84 3.69 0.84
"339" 1.5 2.44 34.86 4.94 0.98
"340" 1.85 2.58 35.12 3.75 1.2
"341" 1.3 2.87 35.06 3.83 1.16
"342" 1.59 2.87 34.99 4.87 1.1
"343" 1.67 2.66 35.18 4.16 1.2
"344" 1.43 2.4 35.35 3.77 1.37
"345" 1.58 2.64 35.26 4.28 1.2
"346" 1.26 1.75 35.16 3.05 1.05
"347" 1.5 2.27 34.84 3.81 0.9
"348" 1.13 1.96 34.89 4.44 1.07
"349" 1.55 2.31 35.11 4.19 0.87
"350" 1.04 2.25 34.68 4.13 1.09
"351" 1.55 2.62 35.08 3.43 1.07
"352" 1.78 2.94 35.15 4.06 1.22
"353" 1.29 2.72 34.81 4.27 1.26
"354" 1.12 2.32 34.68 4.14 0.69
"355" 2 2.76 35.44 4.02 1.14
"356" 1.38 2.11 35.09 3.69 0.76
"357" 1.35 2.19 34.84 3.28 0.56
"358" 1.38 2.81 34.47 4.17 0.98
"359" 1.78 2.9 34.98 3.84 1.19
"360" 1.66 2.77 35.32 3.61 1.34
"361" 1.25 2.19 34.99 4.21 1.19
"362" 1.47 2.44 35.17 4.31 1.1
"363" 1.78 2.34 35 3.99 1.04
"364" 1.5 2.54 35.45 3.74 1.3
"365" 1.6 2.24 35.24 3.28 1.09
"366" 1.45 2.26 34.8 4.2 1.03
