"Carnaroli" "Gange" "Venere" "Basmati" "Patna"
"176" 3.62 4.76 1.7 10.13 7.81
"177" 3.91 4.67 2.01 9.69 7.95
"178" 3.95 5.01 2.01 10.06 8.14
"179" 4.1 5.2 2.19 10.15 8.09
"180" 3.87 5.27 1.96 9.93 8.1
"181" 4.34 5.44 2.11 10.16 8.13
"182" 3.91 5.47 1.59 10.43 7.97
"183" 3.73 4.7 1.67 10.07 8.01
"184" 3.98 4.56 2.18 9.95 8.23
"185" 3.74 4.97 1.88 9.15 8.16
"186" 4.1 5.09 2.21 9.89 8.02
"187" 3.59 4.62 1.87 9.8 7.82
"188" 4.06 4.7 2.1 10.24 7.96
"189" 3.96 5.14 1.98 10.54 7.99
"190" 3.92 5.19 1.88 10.4 8.26
"191" 3.96 5.08 1.78 9.59 7.83
"192" 3.79 4.88 1.97 9.86 7.95
"193" 4.02 5.18 1.94 10.35 7.99
"194" 3.97 5.15 2.37 10.1 8.37
"195" 4.16 5.26 1.63 10.33 7.83
"196" 4.08 5.26 2.14 10.28 8.41
"197" 3.9 4.59 2.15 9.9 8.02
"198" 3.55 5 1.97 9.87 8.19
"199" 4.12 4.92 2.11 10.56 7.87
"200" 3.72 4.82 2.01 9.79 8.02
"201" 4.24 5.1 2.26 9.76 7.79
"202" 4.03 5.16 2.38 9.87 8.23
"203" 3.89 5.11 2.06 9.94 8.15
"204" 4.04 5.31 1.56 9.74 7.94
"205" 4 5.41 1.85 10.31 7.83
"206" 4.14 4.54 2.38 9.69 7.88
"207" 4.29 5.68 2.07 10.06 8.28
"208" 4.24 5.05 2.23 9.69 8.05
"209" 4.17 5.24 1.97 9.66 7.87
"210" 4.02 5.12 2.25 9.93 8.3
"211" 4.26 4.99 2.2 9.79 8.18
"212" 3.81 4.63 1.83 9.13 7.65
"213" 3.81 4.5 1.97 10.39 7.78
"214" 4.38 5.32 2.37 9.88 8.4
"215" 4.02 5 1.75 9.55 7.94
"216" 4.2 5.45 2.07 10.47 8.2
"217" 3.99 5.12 2.11 10.58 7.91
"218" 4.01 5.07 2.04 10.73 8.12
"219" 3.85 5.05 2.04 10.03 7.99
"220" 3.86 4.83 2.01 10.34 7.98
"221" 4.34 4.93 2.15 9.21 8.2
"222" 3.97 5.36 1.8 10.04 8.09
"223" 4.18 5.09 2 9.18 7.98
"224" 4.18 4.98 2.1 10.2 8.08
"225" 4.34 4.82 2.25 9.96 8.18
"226" 4.14 5.07 1.93 10.25 7.81
"227" 4.2 5.31 2.01 10.21 7.87
"228" 3.97 4.83 1.53 9.96 7.81
"229" 4.03 4.91 1.97 10.14 7.94
"230" 4.25 4.9 2.32 9.87 8
"231" 3.66 5.36 1.82 9.79 8.18
"232" 3.73 4.91 1.69 9.98 8.09
"233" 4.16 4.8 1.91 10.12 8.05
"234" 3.52 4.84 2.02 10.34 8.06
"235" 3.55 4.7 1.59 9.4 7.86
"236" 4.01 5.04 2.02 9.6 8.08
"237" 3.83 5.08 1.72 9.37 7.85
"238" 3.94 5.26 2.25 9.78 8.07
"239" 4.15 5.02 1.93 10.1 8.17
"240" 4.07 4.79 2.08 10.35 8.06
"241" 3.91 5.26 1.9 10.26 8.12
"242" 4.35 5.34 2.11 10.29 8.02
"243" 4.32 4.97 2.44 10.38 8.43
"244" 4.05 5.28 2.07 10.14 8.03
"245" 4.21 5.15 1.89 10.48 8.13
"246" 3.91 4.59 2.17 9.92 7.91
"247" 3.92 5.15 1.68 10.22 8.06
"248" 4.22 5.12 2.08 10.29 7.84
"249" 4.17 4.84 2.02 9.71 8.01
"250" 4.05 4.92 2.08 10.13 7.9
"251" 4.16 5.42 1.96 10.53 8.08
"252" 3.78 4.92 1.74 8.97 7.95
"253" 3.98 5.32 2.09 9.69 8.03
"254" 3.96 5.08 1.84 9.88 7.81
"255" 4 4.73 2.2 10.12 7.96
"256" 4.32 5.28 2.13 9.76 7.96
"257" 3.98 5 1.77 10.38 7.86
"258" 3.97 4.95 1.64 9.98 7.53
"259" 3.92 4.92 1.88 9.82 7.91
"260" 4.18 5.37 2.15 10.75 7.94
"261" 3.41 4.33 1.68 9.57 7.69
"262" 3.69 4.55 1.85 9.33 8.02
"263" 4.22 4.92 2.59 10.19 8.25
"264" 4.15 5.05 1.97 10.2 7.71
"265" 4.21 4.74 2.33 9.58 8.02
"266" 3.91 4.75 1.92 9.86 7.86
"267" 4.13 4.96 2.11 10.59 8.1
"268" 3.97 5.37 2.11 9.75 8.04
"269" 4.22 4.74 2.13 9.65 7.79
"270" 4.03 4.62 2.2 10.54 7.98
"271" 4.14 5.14 2.21 10.4 8.01
"272" 3.99 4.79 2.06 10.45 8.22
"273" 4.22 5.04 1.93 9.53 8.05
"274" 3.84 5.04 1.82 10.62 7.95
"275" 3.88 4.8 1.96 9.59 7.97
"276" 4.1 4.98 1.92 9.83 8.08
"277" 4.07 4.79 2.12 10.14 8.19
"278" 4.13 5.21 2.29 10.06 8.16
"279" 4.1 5.06 1.82 9.62 7.96
"280" 3.77 4.82 1.89 10.3 7.85
"281" 3.78 5.16 1.83 9.92 8.02
"282" 4.21 5.38 1.99 10.33 8.07
"283" 3.42 4.53 1.76 9.09 7.9
"284" 4.03 5.28 1.66 9.41 7.87
"285" 4.25 5.68 2.31 10.54 8.22
"286" 3.47 4.83 1.73 9.93 8.06
"287" 3.9 4.53 1.79 9.74 7.59
"288" 3.97 4.77 2.05 10.31 8
"289" 4.29 5.16 2.54 9.94 8.23
"290" 3.92 5.15 1.73 10.18 8.15
"291" 4.08 5.57 1.95 10.86 7.99
"292" 3.99 5.3 1.97 10.48 8.2
"293" 3.86 5.33 1.77 10.59 8
"294" 4 5.23 1.86 9.69 8.02
"295" 4.15 4.93 1.99 10.31 7.88
"296" 3.77 4.79 1.64 9.68 7.66
"297" 3.68 4.6 1.83 10.07 7.62
"298" 4.12 5.02 2.08 10.89 8.18
"299" 3.76 4.97 1.86 9.92 8.04
"300" 3.65 4.43 1.68 10.16 7.92
"301" 4.17 4.97 2.18 10.52 7.9
"302" 3.96 4.99 2.28 10.13 8.29
"303" 4.11 5.36 2.05 10.16 8.18
"304" 3.97 4.91 1.68 9.77 7.75
"305" 3.99 4.8 2.14 10.65 7.87
"306" 4.38 5.49 2.3 10.06 8.38
"307" 3.97 5.17 2.12 9.92 8.26
"308" 3.84 4.92 1.64 10.07 7.95
"309" 4.11 4.75 2.3 9.6 8
"310" 4.21 5.12 2.3 9.81 8.09
"311" 4.22 5.46 2.13 10.71 8.07
"312" 4.09 4.79 2.27 9.61 7.96
"313" 4.16 5.18 2.01 9.57 8.02
"314" 4.4 5.23 2.23 9.85 7.91
"315" 3.76 4.82 1.7 10.37 7.88
"316" 3.9 4.97 2.03 9.6 8.02
"317" 3.86 5.06 1.81 10.24 7.95
"318" 3.91 5.09 2.06 9.71 8.12
"319" 3.93 4.57 1.98 9.61 7.83
"320" 4.25 4.88 2.52 10.02 7.98
"321" 4.19 5.22 2.32 9.64 8
"322" 3.66 4.82 1.93 9.82 7.95
"323" 4 5.08 1.94 9.75 8.08
"324" 4.01 5.29 1.85 9.4 8.03
"325" 3.82 4.94 1.84 9.22 8
"326" 3.88 5.3 2.04 9.77 8.03
"327" 3.9 4.96 1.71 10.36 7.73
"328" 3.8 4.64 2.13 9.99 7.92
"329" 4.04 5.16 1.96 10.02 8.23
"330" 3.87 4.41 2.11 10.28 8
"331" 3.72 4.58 1.85 10.55 7.97
"332" 4.13 5.12 2.35 10.19 8.16
"333" 4.1 5.34 2.03 9.96 8.14
"334" 3.85 4.89 2.08 10.16 8.13
"335" 3.87 4.82 1.82 9.86 7.83
"336" 4.31 5.2 2.56 10.54 8.4
"337" 3.75 5.54 1.63 10.75 8.06
"338" 3.9 4.62 2.04 10.29 7.8
"339" 3.88 4.92 2.31 10.14 8.16
"340" 4.11 5.05 2.22 9.8 7.93
"341" 4.35 5.54 1.95 9.93 8.13
"342" 4.48 5.13 2.5 10 8.11
"343" 4 5.38 2.07 10.15 8.06
"344" 3.75 5.16 1.87 9.16 8.16
"345" 4.01 5.06 1.74 10.09 7.9
"346" 3.82 4.62 1.86 9.61 8.01
"347" 4.07 4.9 2.33 10.34 8.07
"348" 3.76 4.36 1.78 9.93 7.85
"349" 4.21 5.61 2.17 10.7 7.9
"350" 4.09 4.7 1.62 9.64 7.63
"351" 4.07 4.74 2.12 10.38 7.89
"352" 4.05 4.75 1.71 9.99 7.81
"353" 3.61 4.83 1.46 10.26 7.78
"354" 3.96 4.66 2.19 9.99 8.09
"355" 3.87 5.03 2.1 9.48 7.94
"356" 3.58 4.6 1.51 9.23 7.6
"357" 4.08 4.86 1.97 9.93 7.99
"358" 4.01 5.23 1.82 9.76 8.2
"359" 4.09 5.14 2.13 10.05 8.07
"360" 4.13 5.1 2.16 9.68 8
"361" 3.72 4.89 1.75 9.74 7.93
"362" 3.53 4.83 1.58 9.26 7.5
"363" 4.43 5.39 2.24 10.53 7.99
"364" 3.85 5.36 1.91 10.25 8.28
"365" 3.86 5.19 1.95 9.52 8.22
"366" 3.75 5.18 1.85 10.03 7.96
