"time" "type"
"110" 3.94 "G"
"111" 3.94 "G"
"112" 3.98 "G"
"113" 4.01 "G"
"114" 4.03 "G"
"115" 4.04 "G"
"116" 4.07 "R"
"117" 4.09 "G"
"118" 4.1 "G"
"119" 4.1 "G"
"120" 4.13 "G"
"121" 4.14 "G"
"122" 4.17 "G"
"123" 4.21 "R"
"124" 4.22 "R"
"125" 4.23 "R"
"126" 4.25 "R"
"127" 4.31 "R"
"128" 4.38 "G"
"129" 4.49 "R"
"130" 4.51 "R"
"131" 4.62 "R"
"132" 4.65 "R"
"133" 4.76 "G"
"134" 4.81 "G"
"135" 4.81 "R"
"136" 4.9 "G"
"137" 4.91 "G"
"138" 4.93 "G"
"139" 4.95 "G"
"140" 5.01 "R"
"141" 5.03 "G"
"142" 5.05 "R"
"143" 5.06 "R"
"144" 5.09 "R"
"145" 5.13 "G"
"146" 5.14 "G"
"147" 5.17 "R"
"148" 5.46 "R"
"149" 5.53 "R"
"150" 5.54 "G"
"151" 5.55 "R"
"152" 5.56 "R"
"153" 5.57 "G"
"154" 5.59 "R"
"155" 5.61 "G"
"156" 5.62 "G"
"157" 5.63 "R"
"158" 5.66 "G"
"159" 5.79 "R"
"160" 5.81 "R"
"161" 5.85 "R"
"162" 5.86 "G"
"163" 5.87 "G"
"164" 5.87 "G"
"165" 5.96 "G"
"166" 5.96 "G"
"167" 5.97 "G"
"168" 6.08 "G"
"169" 6.15 "R"
"170" 6.52 "G"
"171" 6.56 "G"
"172" 6.57 "G"
"173" 6.59 "G"
"174" 6.67 "G"
"175" 6.7 "G"
"176" 6.74 "G"
"177" 6.81 "G"
"178" 6.84 "G"
"179" 6.85 "G"
"180" 6.98 "G"
"181" 7.03 "G"
"182" 7.06 "G"
"183" 7.09 "G"
"184" 7.15 "G"
"185" 7.16 "G"
"186" 7.22 "G"
"187" 7.37 "G"
"188" 7.41 "G"
"189" 7.42 "G"
"190" 7.48 "G"
"191" 7.49 "G"
"192" 7.5 "G"
"193" 7.61 "G"
"194" 7.66 "G"
"195" 7.69 "G"
"196" 7.72 "G"
"197" 7.77 "G"
"198" 7.77 "G"
"199" 7.81 "G"
"200" 7.83 "G"
"201" 7.85 "G"
"202" 7.88 "G"
"203" 7.89 "G"
"204" 7.9 "G"
"205" 7.99 "G"
"206" 8.05 "G"
"207" 8.05 "G"
"208" 8.14 "G"
"209" 8.18 "G"
"210" 8.19 "G"
"211" 8.22 "G"
"212" 8.26 "G"
"213" 8.26 "G"
"214" 8.36 "G"
"215" 8.36 "G"
"216" 8.43 "G"
"217" 8.45 "G"
"218" 8.45 "G"
"219" 8.55 "G"
"220" 8.7 "G"
"221" 8.71 "G"
"222" 8.73 "G"
"223" 8.74 "G"
"224" 8.75 "G"
"225" 8.75 "G"
"226" 8.76 "G"
"227" 8.77 "G"
"228" 8.84 "G"
"229" 8.85 "G"
"230" 8.87 "G"
"231" 8.88 "G"
"232" 8.91 "G"
"233" 8.97 "G"
"234" 8.98 "G"
"235" 9.03 "G"
"236" 9.06 "G"
"237" 9.08 "G"
"238" 9.11 "G"
"239" 9.14 "G"
"240" 9.22 "G"
"241" 9.28 "G"
"242" 9.35 "G"
"243" 9.35 "G"
"244" 9.37 "G"
"245" 9.4 "G"
"246" 9.41 "G"
"247" 9.41 "G"
"248" 9.41 "G"
"249" 9.45 "G"
"250" 9.48 "G"
"251" 9.52 "G"
"252" 9.52 "G"
"253" 9.55 "G"
"254" 9.65 "G"
"255" 9.66 "G"
"256" 9.68 "G"
"257" 9.79 "G"
"258" 9.81 "G"
"259" 9.84 "G"
"260" 9.86 "G"
"261" 9.86 "G"
"262" 9.94 "G"
"263" 10.03 "G"
"264" 10.09 "G"
"265" 10.12 "G"
"266" 10.16 "G"
"267" 10.18 "G"
"268" 10.18 "G"
"269" 10.19 "G"
"270" 10.2 "G"
"271" 10.22 "G"
"272" 10.25 "G"
"273" 10.32 "G"
"274" 10.33 "G"
"275" 10.33 "G"
"276" 10.34 "G"
"277" 10.37 "G"
"278" 10.37 "G"
"279" 10.4 "G"
"280" 10.42 "G"
"281" 10.46 "G"
"282" 10.53 "G"
"283" 10.58 "G"
"284" 10.62 "G"
"285" 10.66 "G"
"286" 10.67 "G"
"287" 10.67 "G"
"288" 10.71 "G"
"289" 10.72 "G"
"290" 10.8 "G"
"291" 10.83 "G"
"292" 10.92 "G"
"293" 10.94 "G"
"294" 11.02 "G"
"295" 11.06 "G"
"296" 11.09 "G"
"297" 11.19 "G"
"298" 11.22 "G"
"299" 11.26 "G"
"300" 11.27 "G"
"301" 11.29 "G"
"302" 11.31 "G"
"303" 11.44 "G"
"304" 11.46 "G"
"305" 11.46 "G"
"306" 11.56 "G"
"307" 11.6 "G"
"308" 11.67 "G"
"309" 11.79 "G"
"310" 11.79 "G"
"311" 11.87 "G"
"312" 11.87 "G"
"313" 11.88 "G"
"314" 11.96 "G"
"315" 11.98 "G"
