"X19_A" "X19_C"
"406" 243 256
"407" 99 250
"408" 189 233
"409" 196 243
"410" 254 253
"411" 108 271
"412" 251 238
"413" 94 256
"414" 95 233
"415" 102 236
"416" 239 246
"417" 91 255
"418" 97 248
"419" 231 247
"420" 243 245
"421" 246 241
"422" 255 262
"423" 258 258
"424" 199 265
"425" 248 254
"426" 107 260
"427" 90 241
"428" 199 251
"429" 112 261
"430" 114 257
"431" 72 224
"432" 99 242
"433" 246 249
"434" 244 257
"435" 247 251
"436" 210 263
"437" 100 252
"438" 114 264
"439" 91 249
"440" 125 260
"441" 194 262
"442" 262 241
"443" 100 238
"444" 258 248
"445" 100 250
"446" 105 244
"447" 234 251
"448" 105 264
"449" 89 248
"450" 108 253
"451" 94 255
"452" 237 239
"453" 259 245
"454" 201 245
"455" 258 240
"456" 209 272
"457" 250 241
"458" 183 255
"459" 204 255
"460" 103 245
"461" 106 255
"462" 204 258
"463" 205 261
"464" 257 251
"465" 200 252
"466" 211 256
"467" 212 251
"468" 191 231
"469" 120 261
"470" 203 240
"471" 229 235
"472" 211 264
"473" 104 253
"474" 122 261
"475" 196 251
"476" 207 255
"477" 261 256
"478" 251 249
"479" 103 240
"480" 91 249
"481" 112 256
"482" 261 262
"483" 210 258
"484" 195 250
"485" 247 242
"486" 117 271
"487" 248 245
"488" 258 248
"489" 254 251
"490" 245 239
"491" 98 255
"492" 198 254
"493" 224 245
"494" 195 258
"495" 204 259
"496" 241 234
"497" 191 245
"498" 91 250
"499" 99 235
"500" 260 245
"501" 208 256
"502" 247 257
"503" 208 240
"504" 100 231
"505" 116 258
"506" 253 253
"507" 199 251
"508" 232 240
"509" 248 258
"510" 241 255
"511" 255 272
"512" 243 254
"513" 248 260
"514" 250 252
"515" 80 244
"516" 109 239
"517" 243 251
"518" 111 253
"519" 185 254
"520" 89 237
"521" 259 268
"522" 173 239
"523" 86 250
"524" 104 253
"525" 256 249
"526" 255 256
"527" 239 250
"528" 203 263
"529" 106 252
"530" 239 251
"531" 100 258
"532" 93 244
"533" 97 250
"534" 259 266
"535" 250 249
"536" 193 233
"537" 234 244
"538" 250 242
"539" 92 245
"540" 93 253
"541" 262 249
"542" 87 237
"543" 266 270
"544" 244 243
"545" 192 252
"546" 263 256
"547" 199 250
"548" 76 244
"549" 189 256
"550" 96 268
"551" 244 248
"552" 254 247
"553" 253 253
"554" 92 244
"555" 209 248
"556" 109 257
"557" 208 250
"558" 239 241
"559" 99 256
"560" 104 249
"561" 88 235
"562" 215 255
"563" 86 241
"564" 245 250
"565" 124 273
"566" 193 246
"567" 263 260
"568" 259 258
"569" 195 245
"570" 102 255
"571" 252 257
"572" 194 250
"573" 95 249
"574" 266 247
"575" 104 247
"576" 258 257
"577" 257 271
"578" 197 249
"579" 94 253
"580" 249 253
"581" 246 250
"582" 255 251
"583" 219 237
"584" 243 244
"585" 100 268
"586" 238 253
"587" 94 231
"588" 190 241
"589" 208 260
"590" 206 246
"591" 200 242
"592" 211 259
"593" 111 256
"594" 187 258
"595" 253 245
"596" 118 257
"597" 111 265
"598" 259 238
"599" 254 246
"600" 81 242
"601" 252 253
"602" 80 237
"603" 257 248
"604" 240 240
"605" 108 247
"606" 198 251
"607" 247 270
"608" 97 250
"609" 102 246
"610" 262 260
"611" 252 249
"612" 111 255
"613" 115 255
"614" 102 270
"615" 204 253
"616" 203 265
"617" 190 248
"618" 239 246
"619" 95 249
"620" 258 266
"621" 101 252
"622" 92 250
"623" 228 273
"624" 260 256
"625" 201 239
"626" 196 250
"627" 105 252
"628" 259 243
"629" 100 246
"630" 248 247
"631" 97 250
"632" 131 261
"633" 210 258
"634" 201 258
"635" 200 261
"636" 257 259
"637" 245 254
"638" 262 250
"639" 221 264
"640" 105 244
"641" 234 242
"642" 82 248
"643" 258 259
"644" 250 253
"645" 259 242
"646" 247 254
"647" 88 240
"648" 87 244
"649" 91 238
"650" 95 239
"651" 205 255
"652" 203 265
"653" 234 256
"654" 192 243
"655" 114 246
"656" 97 254
"657" 252 263
"658" 107 239
"659" 201 237
"660" 95 241
"661" 194 251
"662" 110 239
"663" 96 252
"664" 192 254
"665" 105 248
"666" 91 240
"667" 97 234
"668" 192 233
"669" 200 245
"670" 253 235
"671" 244 253
"672" 268 259
"673" 251 255
"674" 238 244
"675" 197 260
"676" 88 244
"677" 112 253
"678" 200 220
"679" 196 230
"680" 242 256
"681" 93 234
"682" 104 253
"683" 96 249
"684" 247 239
"685" 192 257
"686" 256 252
"687" 237 256
"688" 251 241
"689" 259 256
"690" 90 240
"691" 243 229
"692" 105 272
"693" 110 276
"694" 197 249
"695" 105 267
"696" 259 245
"697" 236 247
"698" 238 244
"699" 110 257
"700" 213 245
"701" 254 249
"702" 116 263
"703" 197 255
"704" 250 259
"705" 264 246
"706" 260 252
"707" 99 251
"708" 263 249
"709" 88 246
"710" 270 257
"711" 88 246
"712" 250 243
"713" 254 250
"714" 239 253
"715" 111 271
"716" 239 244
"717" 252 242
"718" 92 244
"719" 250 237
"720" 109 234
"721" 112 238
"722" 114 244
"723" 106 266
"724" 248 234
"725" 93 233
"726" 212 261
"727" 249 239
"728" 194 244
"729" 245 247
"730" 87 244
"731" 98 258
"732" 248 246
"733" 246 242
"734" 257 254
"735" 264 267
"736" 258 264
"737" 268 247
"738" 234 241
"739" 99 243
"740" 246 253
"741" 102 253
"742" 102 248
"743" 253 238
"744" 219 267
"745" 253 270
"746" 281 264
"747" 246 252
"748" 240 247
"749" 207 239
"750" 95 257
"751" 117 276
"752" 94 245
"753" 105 253
"754" 263 254
"755" 98 245
"756" 207 255
"757" 201 252
"758" 261 259
"759" 99 244
"760" 90 244
"761" 245 255
"762" 248 250
"763" 260 250
"764" 98 260
"765" 259 247
"766" 242 226
"767" 252 263
"768" 202 235
"769" 247 249
"770" 207 259
"771" 244 264
"772" 198 242
"773" 255 238
"774" 185 252
"775" 202 244
"776" 197 244
"777" 202 258
"778" 251 242
"779" 241 262
"780" 247 247
"781" 214 257
"782" 201 247
"783" 229 257
"784" 260 253
"785" 239 241
"786" 249 253
"787" 218 265
"788" 231 226
"789" 94 241
"790" 246 258
"791" 195 227
"792" 108 262
"793" 259 235
"794" 247 243
"795" 202 254
"796" 258 255
"797" 93 238
"798" 94 253
"799" 208 252
"800" 214 237
"801" 95 257
"802" 208 244
"803" 100 244
"804" 123 257
"805" 246 261
"806" 106 257
"807" 251 244
"808" 128 263
"809" 246 250
"810" 102 250
"811" 260 235
"812" 262 268
"813" 199 257
"814" 250 254
"815" 240 245
"816" 245 266
"817" 101 253
"818" 208 250
"819" 102 239
"820" 254 247
"821" 81 245
"822" 111 249
"823" 267 263
"824" 195 231
"825" 78 236
"826" 92 252
"827" 259 249
"828" 88 246
"829" 90 245
"830" 115 259
"831" 242 237
"832" 183 235
"833" 202 254
"834" 93 242
"835" 96 240
"836" 202 258
"837" 192 242
"838" 189 247
"839" 256 253
"840" 95 244
"841" 210 257
"842" 111 255
"843" 111 257
"844" 102 247
"845" 247 231
"846" 247 253
"847" 101 268
"848" 239 235
"849" 108 262
"850" 109 270
"851" 260 254
"852" 245 241
"853" 249 244
"854" 206 245
"855" 247 240
"856" 201 251
"857" 260 257
"858" 258 263
"859" 251 237
"860" 246 246
"861" 237 250
"862" 92 239
"863" 189 254
"864" 97 247
"865" 111 255
"866" 205 258
"867" 106 246
"868" 88 237
"869" 254 262
"870" 94 241
"871" 255 248
"872" 258 261
"873" 207 254
"874" 81 257
"875" 240 244
"876" 199 254
"877" 205 255
"878" 229 243
"879" 226 222
"880" 96 243
"881" 241 245
"882" 199 252
"883" 106 243
"884" 264 260
"885" 238 235
"886" 248 253
"887" 251 258
"888" 258 267
"889" 270 254
"890" 88 252
"891" 102 267
"892" 103 258
"893" 258 252
"894" 263 255
"895" 252 255
"896" 99 235
"897" 75 230
"898" 260 266
"899" 96 250
"900" 201 248
"901" 254 251
"902" 232 250
"903" 230 251
"904" 257 264
"905" 116 264
"906" 191 247
"907" 106 238
"908" 188 237
"909" 104 246
"910" 251 255
"911" 192 254
"912" 98 253
"913" 198 243
"914" 252 253
"915" 87 246
"916" 190 245
"917" 257 241
"918" 97 246
"919" 263 261
"920" 94 244
"921" 111 248
"922" 183 223
"923" 242 250
"924" 243 259
"925" 235 257
"926" 263 258
"927" 88 257
"928" 248 244
"929" 97 252
"930" 263 256
"931" 197 263
"932" 243 235
"933" 204 250
"934" 190 272
"935" 104 255
"936" 108 247
"937" 206 248
"938" 249 240
"939" 253 259
"940" 244 245
"941" 211 287
"942" 207 268
"943" 103 254
"944" 91 237
"945" 90 237
"946" 80 244
"947" 95 240
"948" 245 266
"949" 85 233
"950" 239 246
"951" 93 238
"952" 221 259
"953" 106 263
"954" 104 256
"955" 250 261
"956" 248 254
"957" 94 249
"958" 266 240
"959" 104 252
"960" 100 248
"961" 259 243
"962" 86 246
"963" 98 252
"964" 188 249
"965" 185 252
"966" 109 250
"967" 233 253
"968" 207 251
"969" 196 252
"970" 231 228
"971" 92 258
"972" 243 254
"973" 200 243
"974" 109 247
"975" 106 232
"976" 185 246
"977" 258 259
"978" 98 255
"979" 233 245
"980" 259 257
"981" 114 268
"982" 79 225
"983" 102 253
"984" 117 253
"985" 202 250
"986" 189 247
"987" 124 253
"988" 248 242
"989" 239 246
"990" 97 258
"991" 90 256
"992" 200 247
"993" 260 250
"994" 258 264
"995" 204 251
"996" 112 263
"997" 178 230
"998" 111 257
"999" 243 240
"1000" 260 262
"1001" 239 235
"1002" 245 256
"1003" 241 238
"1004" 212 255
"1005" 247 255
"1006" 268 253
"1007" 251 235
"1008" 195 252
"1009" 189 233
"1010" 210 240
"1011" 202 253
"1012" 116 256
"1013" 182 238
"1014" 247 252
"1015" 194 242
"1016" 90 236
"1017" 215 245
"1018" 237 242
"1019" 253 248
"1020" 111 251
"1021" 246 260
"1022" 94 257
"1023" 179 228
"1024" 93 245
"1025" 239 245
"1026" 256 266
"1027" 96 248
"1028" 228 226
"1029" 255 249
"1030" 234 234
"1031" 258 261
"1032" 213 275
"1033" 257 256
"1034" 121 266
"1035" 91 245
"1036" 106 240
"1037" 250 238
"1038" 234 249
"1039" 250 248
"1040" 87 243
"1041" 240 243
"1042" 96 251
"1043" 76 233
"1044" 190 249
"1045" 212 244
"1046" 260 245
"1047" 237 257
"1048" 99 261
"1049" 212 248
"1050" 85 233
"1051" 247 235
"1052" 111 267
"1053" 101 263
"1054" 107 242
"1055" 101 247
"1056" 227 234
"1057" 106 255
"1058" 103 265
"1059" 213 249
"1060" 279 262
"1061" 80 242
"1062" 104 258
"1063" 109 268
"1064" 246 249
"1065" 239 252
"1066" 203 255
"1067" 89 260
"1068" 259 244
"1069" 124 251
"1070" 109 253
"1071" 96 253
"1072" 238 249
"1073" 244 243
"1074" 191 239
"1075" 96 252
"1076" 216 266
"1077" 101 247
"1078" 104 229
"1079" 100 243
"1080" 196 250
"1081" 77 235
"1082" 100 262
"1083" 98 253
"1084" 270 270
"1085" 120 260
"1086" 219 258
"1087" 206 252
"1088" 97 251
"1089" 103 241
"1090" 256 252
"1091" 238 224
"1092" 94 262
"1093" 238 251
"1094" 238 245
"1095" 96 251
"1096" 256 251
"1097" 110 250
"1098" 103 252
"1099" 109 264
"1100" 205 266
"1101" 251 237
"1102" 258 260
"1103" 109 252
"1104" 253 253
"1105" 243 250
"1106" 202 261
"1107" 108 239
"1108" 237 234
"1109" 250 249
"1110" 101 242
"1111" 188 233
"1112" 230 244
"1113" 85 234
"1114" 202 260
"1115" 244 240
"1116" 247 234
"1117" 223 247
"1118" 195 245
"1119" 99 236
"1120" 239 252
"1121" 113 253
"1122" 90 241
"1123" 247 247
"1124" 123 262
"1125" 95 242
"1126" 255 258
"1127" 198 237
"1128" 249 251
"1129" 108 261
"1130" 246 247
"1131" 215 247
"1132" 109 256
"1133" 217 239
"1134" 253 263
"1135" 190 246
"1136" 257 246
"1137" 236 252
"1138" 241 254
"1139" 250 257
"1140" 266 248
"1141" 116 256
"1142" 247 237
"1143" 101 250
"1144" 203 263
"1145" 84 238
"1146" 263 245
"1147" 250 245
"1148" 261 246
"1149" 98 251
"1150" 84 237
"1151" 79 246
"1152" 87 231
"1153" 244 244
"1154" 112 259
"1155" 93 249
"1156" 231 226
"1157" 259 260
"1158" 195 244
"1159" 238 235
"1160" 241 250
"1161" 249 254
"1162" 254 237
"1163" 98 254
"1164" 199 243
"1165" 199 245
"1166" 247 263
"1167" 256 259
"1168" 98 233
"1169" 92 249
"1170" 102 263
"1171" 108 248
"1172" 193 243
"1173" 188 224
"1174" 255 248
"1175" 97 246
"1176" 248 255
"1177" 114 271
"1178" 120 265
"1179" 97 243
"1180" 112 238
"1181" 191 241
"1182" 245 235
"1183" 108 253
"1184" 252 243
"1185" 265 255
"1186" 235 247
"1187" 96 257
"1188" 248 254
"1189" 85 249
"1190" 262 253
"1191" 258 260
"1192" 251 251
"1193" 90 254
"1194" 247 242
"1195" 116 262
"1196" 234 250
"1197" 256 242
"1198" 116 261
"1199" 87 236
"1200" 199 257
"1201" 253 251
"1202" 101 245
"1203" 244 239
"1204" 102 259
"1205" 201 237
"1206" 102 264
"1207" 113 257
"1208" 90 244
"1209" 256 245
"1210" 206 249
"1211" 245 239
"1212" 263 245
"1213" 196 245
"1214" 246 248
"1215" 198 241
"1216" 115 257
"1217" 100 270
"1218" 85 235
"1219" 106 240
"1220" 254 251
"1221" 259 250
"1222" 252 239
"1223" 242 255
"1224" 110 251
"1225" 95 242
"1226" 248 248
"1227" 262 270
"1228" 193 254
"1229" 204 250
"1230" 239 257
"1231" 182 232
"1232" 207 265
"1233" 234 246
"1234" 250 246
"1235" 100 240
"1236" 254 257
"1237" 182 230
"1238" 101 240
"1239" 119 263
"1240" 236 238
"1241" 89 239
"1242" 265 259
"1243" 265 258
"1244" 103 257
"1245" 260 255
"1246" 270 264
"1247" 266 251
"1248" 219 265
"1249" 248 259
"1250" 248 242
"1251" 256 256
"1252" 108 251
"1253" 238 245
"1254" 80 234
"1255" 111 258
"1256" 92 248
"1257" 241 237
"1258" 112 256
"1259" 187 246
"1260" 206 262
"1261" 100 245
"1262" 237 239
"1263" 89 241
"1264" 252 244
"1265" 249 245
"1266" 101 248
"1267" 240 230
"1268" 232 245
"1269" 259 264
"1270" 233 250
"1271" 123 269
"1272" 99 240
"1273" 100 252
"1274" 119 250
"1275" 256 252
"1276" 244 252
"1277" 250 248
"1278" 99 243
"1279" 103 253
"1280" 78 244
"1281" 241 242
"1282" 254 242
"1283" 248 255
"1284" 88 236
"1285" 176 251
"1286" 184 257
"1287" 252 250
"1288" 102 250
"1289" 219 239
"1290" 266 263
"1291" 249 255
"1292" 110 250
"1293" 100 245
"1294" 193 265
"1295" 243 257
"1296" 264 255
"1297" 216 259
"1298" 261 253
"1299" 265 255
"1300" 243 242
"1301" 245 252
"1302" 206 271
"1303" 204 233
"1304" 264 257
"1305" 251 254
"1306" 265 261
"1307" 116 261
"1308" 245 239
"1309" 90 249
"1310" 188 242
"1311" 260 250
"1312" 109 271
"1313" 105 245
"1314" 105 252
"1315" 74 233
"1316" 249 245
"1317" 203 250
"1318" 113 263
"1319" 231 249
"1320" 112 246
"1321" 100 259
"1322" 201 250
"1323" 110 244
"1324" 247 247
"1325" 107 245
"1326" 247 255
"1327" 113 250
"1328" 102 253
"1329" 245 250
"1330" 192 240
"1331" 262 249
"1332" 258 246
"1333" 237 242
"1334" 92 237
"1335" 260 261
"1336" 215 270
"1337" 89 232
"1338" 262 265
"1339" 249 251
"1340" 187 244
"1341" 253 251
"1342" 201 263
"1343" 197 239
"1344" 94 267
"1345" 106 245
"1346" 251 255
"1347" 232 236
"1348" 113 240
"1349" 94 241
"1350" 100 232
"1351" 268 254
"1352" 244 251
"1353" 248 259
"1354" 241 245
"1355" 253 254
"1356" 250 246
"1357" 241 235
"1358" 239 253
"1359" 192 242
"1360" 256 248
"1361" 246 265
"1362" 252 260
"1363" 79 241
"1364" 209 256
"1365" 116 267
"1366" 103 242
"1367" 267 266
"1368" 251 248
"1369" 185 242
"1370" 202 257
"1371" 259 256
"1372" 212 237
"1373" 106 247
"1374" 187 252
"1375" 99 238
"1376" 98 233
"1377" 265 264
"1378" 199 242
"1379" 254 271
"1380" 200 241
"1381" 247 244
"1382" 98 245
"1383" 96 228
"1384" 107 261
"1385" 257 253
"1386" 192 262
"1387" 194 249
"1388" 91 240
"1389" 246 246
"1390" 217 259
"1391" 236 242
"1392" 259 264
"1393" 193 253
"1394" 108 248
"1395" 210 254
"1396" 251 251
"1397" 100 248
"1398" 105 256
"1399" 255 233
"1400" 243 242
"1401" 206 258
"1402" 246 251
"1403" 197 237
"1404" 192 267
"1405" 97 255
"1406" 238 245
"1407" 235 246
"1408" 273 267
"1409" 91 245
"1410" 209 254
"1411" 235 242
"1412" 244 258
"1413" 248 255
"1414" 218 242
"1415" 255 252
"1416" 237 244
"1417" 85 244
"1418" 261 250
"1419" 234 241
"1420" 250 238
"1421" 194 245
"1422" 261 265
"1423" 254 256
"1424" 93 257
"1425" 104 253
"1426" 249 254
"1427" 201 252
"1428" 234 230
"1429" 91 235
"1430" 243 253
"1431" 89 248
"1432" 197 240
"1433" 252 261
"1434" 106 255
"1435" 201 249
"1436" 99 239
"1437" 205 260
"1438" 269 263
"1439" 194 257
"1440" 118 257
"1441" 109 269
"1442" 256 249
"1443" 105 273
"1444" 104 253
"1445" 257 248
"1446" 200 246
"1447" 204 254
"1448" 241 251
"1449" 191 242
"1450" 244 250
"1451" 115 245
"1452" 257 270
"1453" 265 270
"1454" 260 255
"1455" 256 250
"1456" 120 263
"1457" 259 247
"1458" 193 236
"1459" 208 265
"1460" 192 236
"1461" 254 270
"1462" 258 246
"1463" 255 233
"1464" 106 252
"1465" 88 236
"1466" 247 243
"1467" 261 253
"1468" 86 241
"1469" 192 238
"1470" 261 255
"1471" 202 247
"1472" 100 253
"1473" 245 267
"1474" 198 248
"1475" 99 256
"1476" 116 264
"1477" 114 251
"1478" 246 236
"1479" 253 249
"1480" 243 244
"1481" 196 244
"1482" 232 244
"1483" 255 248
"1484" 104 241
"1485" 268 261
"1486" 202 244
"1487" 193 262
"1488" 261 258
"1489" 258 257
"1490" 254 253
"1491" 203 246
"1492" 255 242
"1493" 89 247
"1494" 108 265
"1495" 253 256
"1496" 96 266
"1497" 111 259
"1498" 204 257
"1499" 202 243
"1500" 265 246
"1501" 101 260
"1502" 240 253
"1503" 118 246
"1504" 265 253
"1505" 116 243
"1506" 232 238
"1507" 103 247
"1508" 267 252
"1509" 261 262
"1510" 108 255
"1511" 261 252
"1512" 240 235
"1513" 271 252
"1514" 263 253
"1515" 247 246
"1516" 94 248
"1517" 101 248
"1518" 253 248
"1519" 225 233
"1520" 112 244
"1521" 251 239
"1522" 193 244
"1523" 91 249
"1524" 99 260
"1525" 180 244
"1526" 90 246
"1527" 90 240
"1528" 243 228
"1529" 84 248
"1530" 247 251
"1531" 202 257
"1532" 217 264
"1533" 243 226
"1534" 242 245
"1535" 90 238
"1536" 194 257
"1537" 230 236
"1538" 115 248
"1539" 238 235
"1540" 259 267
"1541" 86 236
"1542" 242 249
"1543" 111 254
"1544" 177 245
"1545" 118 247
"1546" 112 273
"1547" 265 261
"1548" 204 263
"1549" 97 253
"1550" 102 238
"1551" 265 252
"1552" 94 259
"1553" 245 247
"1554" 186 232
"1555" 261 237
"1556" 244 257
"1557" 103 257
"1558" 89 247
"1559" 80 241
"1560" 186 251
"1561" 215 270
"1562" 205 247
"1563" 257 254
"1564" 255 255
"1565" 190 245
"1566" 88 256
"1567" 108 234
"1568" 242 237
"1569" 247 255
"1570" 243 245
"1571" 259 250
"1572" 208 259
"1573" 255 248
"1574" 115 271
"1575" 258 256
"1576" 266 245
"1577" 108 247
"1578" 188 246
"1579" 89 253
"1580" 238 254
"1581" 257 250
"1582" 98 238
"1583" 113 255
"1584" 105 261
"1585" 198 257
"1586" 90 258
"1587" 93 243
"1588" 266 262
"1589" 184 236
"1590" 97 232
"1591" 192 249
"1592" 73 224
"1593" 255 262
"1594" 206 254
"1595" 253 259
"1596" 243 261
"1597" 206 256
"1598" 261 262
"1599" 117 253
"1600" 235 243
"1601" 242 241
"1602" 91 258
"1603" 99 258
"1604" 107 249
"1605" 83 238
"1606" 241 254
"1607" 113 250
"1608" 100 251
"1609" 244 251
"1610" 94 244
"1611" 202 252
"1612" 268 252
"1613" 260 243
"1614" 96 266
"1615" 221 238
"1616" 269 262
"1617" 114 261
"1618" 99 260
"1619" 251 252
"1620" 127 273
"1621" 248 254
"1622" 91 267
"1623" 108 256
"1624" 178 243
"1625" 240 240
"1626" 259 257
"1627" 202 242
"1628" 104 261
"1629" 261 260
"1630" 242 238
"1631" 92 257
"1632" 95 259
"1633" 103 249
"1634" 251 231
"1635" 248 241
"1636" 97 263
"1637" 91 246
"1638" 195 243
"1639" 191 240
"1640" 109 255
"1641" 210 252
"1642" 112 257
"1643" 255 251
"1644" 104 236
"1645" 240 238
"1646" 234 239
"1647" 254 256
"1648" 96 238
"1649" 88 241
"1650" 257 266
"1651" 112 253
"1652" 244 248
"1653" 71 229
"1654" 94 243
"1655" 239 259
"1656" 208 250
"1657" 205 248
"1658" 196 243
"1659" 94 245
"1660" 245 253
"1661" 104 256
"1662" 198 236
"1663" 194 263
