"index" "region" "sandwich"
"77" 3.11 "Europe" "Cheese"
"78" 4.58 "Europe" "Cheese"
"79" 5.26 "Europe" "Cheese"
"80" 4.76 "Europe" "Cheese"
"81" 4.64 "Europe" "Cheese"
"82" 4.91 "Europe" "Cheese"
"83" 5.48 "Europe" "Cheese"
"84" 5.71 "Europe" "Cheese"
"85" 4.35 "Europe" "Cheese"
"86" 5 "Europe" "Cheese"
"87" 5.33 "Europe" "Cheese"
"88" 5.53 "Europe" "Cheese"
"89" 5.08 "Europe" "Cheese"
"90" 4.28 "Europe" "Cheese"
"91" 4.56 "Europe" "Cheese"
"92" 3.1 "Europe" "Cheese"
"93" 4.15 "Europe" "Cheese"
"94" 5.43 "Europe" "Cheese"
"95" 5.39 "Europe" "Cheese"
"96" 4.9 "Europe" "Cheese"
"97" 5.29 "Europe" "Cheese"
"98" 4.82 "Europe" "Cheese"
"99" 4.56 "Europe" "Cheese"
"100" 5.45 "Europe" "Cheese"
"101" 6.64 "Europe" "Bacon"
"102" 6 "Europe" "Bacon"
"103" 6.51 "Europe" "Bacon"
"104" 8.02 "Europe" "Bacon"
"105" 8.46 "Europe" "Bacon"
"106" 6.97 "Europe" "Bacon"
"107" 5.09 "Europe" "Bacon"
"108" 5.3 "Europe" "Bacon"
"109" 6.34 "Europe" "Bacon"
"110" 7.58 "Europe" "Bacon"
"111" 7.23 "Europe" "Bacon"
"112" 6.27 "Europe" "Bacon"
"113" 7.61 "Europe" "Bacon"
"114" 7.95 "Europe" "Bacon"
"115" 7.59 "Europe" "Bacon"
"116" 6.07 "Europe" "Bacon"
"117" 7.03 "Europe" "Bacon"
"118" 6.83 "Europe" "Bacon"
"119" 6.29 "Europe" "Bacon"
"120" 8.48 "Europe" "Bacon"
"121" 5.36 "Europe" "Bacon"
"122" 6.82 "Europe" "Bacon"
"123" 7.17 "Europe" "Bacon"
"124" 6.35 "Europe" "Bacon"
"125" 8.16 "Europe" "Bacon"
"126" 7.7 "Europe" "Bacon"
"127" 7.45 "Europe" "Bacon"
"128" 7.77 "Europe" "Bacon"
"129" 7.97 "Europe" "Bacon"
"130" 6.45 "Europe" "Bacon"
"131" 7.13 "Europe" "Bacon"
"132" 8.96 "Europe" "Bacon"
"133" 8.75 "Europe" "Bacon"
"134" 6.14 "Europe" "Bacon"
"135" 6.6 "Europe" "Bacon"
"136" 8.32 "Europe" "Bacon"
"137" 6.9 "Europe" "Bacon"
"138" 6.69 "Europe" "Bacon"
"139" 6.24 "Europe" "Bacon"
"140" 7.26 "Europe" "Bacon"
"141" 8.01 "Europe" "Bacon"
"142" 7.33 "Europe" "Bacon"
"143" 7.96 "Europe" "Bacon"
"144" 7.66 "Europe" "Bacon"
"145" 6.59 "Europe" "Bacon"
"146" 7 "Europe" "Bacon"
"147" 7.13 "Europe" "Bacon"
"148" 6.47 "Europe" "Bacon"
"149" 7.57 "Europe" "Bacon"
"150" 7.65 "Europe" "Bacon"
"151" 7.54 "USA" "Burger"
"152" 6.05 "USA" "Burger"
"153" 7.77 "USA" "Burger"
"154" 6.96 "USA" "Burger"
"155" 7.86 "USA" "Burger"
"156" 7.22 "USA" "Burger"
"157" 8.07 "USA" "Burger"
"158" 7.81 "USA" "Burger"
"159" 7.5 "USA" "Burger"
"160" 6.53 "USA" "Burger"
"161" 6.56 "USA" "Burger"
"162" 6.55 "USA" "Burger"
"163" 7.19 "USA" "Burger"
"164" 6.26 "USA" "Burger"
"165" 7.53 "USA" "Burger"
"166" 6.88 "USA" "Burger"
"167" 5.44 "USA" "Burger"
"168" 6.8 "USA" "Burger"
"169" 7.37 "USA" "Burger"
"170" 8.58 "USA" "Burger"
"171" 5.89 "USA" "Burger"
"172" 7.56 "USA" "Burger"
"173" 6.07 "USA" "Burger"
"174" 7.19 "USA" "Burger"
"175" 7.32 "USA" "Burger"
"176" 7.19 "USA" "Burger"
"177" 7.27 "USA" "Burger"
"178" 6.71 "USA" "Burger"
"179" 7.73 "USA" "Burger"
"180" 6.33 "USA" "Burger"
"181" 6.92 "USA" "Burger"
"182" 5.57 "USA" "Burger"
"183" 6.18 "USA" "Burger"
"184" 7.78 "USA" "Burger"
"185" 7.7 "USA" "Burger"
"186" 6.15 "USA" "Burger"
"187" 7.27 "USA" "Burger"
"188" 7.21 "USA" "Burger"
"189" 8.98 "USA" "Burger"
"190" 7.63 "USA" "Burger"
"191" 6.67 "USA" "Burger"
"192" 6.32 "USA" "Burger"
"193" 7.38 "USA" "Burger"
"194" 6.47 "USA" "Burger"
"195" 7.02 "USA" "Burger"
"196" 7.17 "USA" "Burger"
"197" 5.58 "USA" "Burger"
"198" 7.09 "USA" "Burger"
"199" 7.27 "USA" "Burger"
"200" 6.48 "USA" "Burger"
"201" 6.49 "USA" "Cheese"
"202" 6.07 "USA" "Cheese"
"203" 7.35 "USA" "Cheese"
"204" 6.11 "USA" "Cheese"
"205" 6.45 "USA" "Cheese"
"206" 7.19 "USA" "Cheese"
"207" 6.63 "USA" "Cheese"
"208" 7.6 "USA" "Cheese"
"209" 6.97 "USA" "Cheese"
"210" 6.97 "USA" "Cheese"
"211" 8.44 "USA" "Cheese"
"212" 7.34 "USA" "Cheese"
"213" 8.11 "USA" "Cheese"
"214" 7.24 "USA" "Cheese"
"215" 7.28 "USA" "Cheese"
"216" 5.89 "USA" "Cheese"
"217" 6.69 "USA" "Cheese"
"218" 7.04 "USA" "Cheese"
"219" 6.74 "USA" "Cheese"
"220" 6.81 "USA" "Cheese"
"221" 7.04 "USA" "Cheese"
"222" 8.48 "USA" "Cheese"
"223" 7.96 "USA" "Cheese"
"224" 7.36 "USA" "Cheese"
"225" 6.7 "USA" "Cheese"
"226" 7 "USA" "Cheese"
"227" 6.88 "USA" "Cheese"
"228" 6.65 "USA" "Cheese"
"229" 7.33 "USA" "Cheese"
"230" 7.2 "USA" "Cheese"
"231" 8.49 "USA" "Cheese"
"232" 6.76 "USA" "Cheese"
"233" 6.7 "USA" "Cheese"
"234" 6.23 "USA" "Cheese"
"235" 7.19 "USA" "Cheese"
"236" 7.79 "USA" "Cheese"
"237" 6.6 "USA" "Cheese"
"238" 5.69 "USA" "Cheese"
"239" 6.43 "USA" "Cheese"
"240" 8.59 "USA" "Cheese"
"241" 7.29 "USA" "Cheese"
"242" 6.58 "USA" "Cheese"
"243" 6.48 "USA" "Cheese"
"244" 7.25 "USA" "Cheese"
"245" 7.43 "USA" "Cheese"
"246" 7.06 "USA" "Cheese"
"247" 6.96 "USA" "Cheese"
"248" 7.23 "USA" "Cheese"
"249" 6.37 "USA" "Cheese"
"250" 6.8 "USA" "Cheese"
"251" 8.89 "USA" "Bacon"
"252" 9.88 "USA" "Bacon"
"253" 10 "USA" "Bacon"
"254" 8.86 "USA" "Bacon"
"255" 9.41 "USA" "Bacon"
"256" 9.11 "USA" "Bacon"
"257" 10 "USA" "Bacon"
"258" 8.31 "USA" "Bacon"
"259" 8.8 "USA" "Bacon"
"260" 7.49 "USA" "Bacon"
"261" 9.26 "USA" "Bacon"
"262" 8.41 "USA" "Bacon"
"263" 8.22 "USA" "Bacon"
"264" 8.96 "USA" "Bacon"
"265" 10 "USA" "Bacon"
"266" 9.18 "USA" "Bacon"
"267" 9.5 "USA" "Bacon"
"268" 8.58 "USA" "Bacon"
"269" 9.18 "USA" "Bacon"
"270" 9.95 "USA" "Bacon"
"271" 8.94 "USA" "Bacon"
"272" 9.66 "USA" "Bacon"
"273" 9.67 "USA" "Bacon"
"274" 9.51 "USA" "Bacon"
"275" 8.84 "USA" "Bacon"
"276" 8.87 "USA" "Bacon"
"277" 7.42 "USA" "Bacon"
"278" 8.89 "USA" "Bacon"
"279" 8.37 "USA" "Bacon"
"280" 8.79 "USA" "Bacon"
"281" 9.36 "USA" "Bacon"
"282" 9.26 "USA" "Bacon"
"283" 8.75 "USA" "Bacon"
"284" 7.67 "USA" "Bacon"
"285" 8.62 "USA" "Bacon"
"286" 9.77 "USA" "Bacon"
"287" 10 "USA" "Bacon"
"288" 7.93 "USA" "Bacon"
"289" 9.07 "USA" "Bacon"
"290" 8.89 "USA" "Bacon"
"291" 9.93 "USA" "Bacon"
"292" 10 "USA" "Bacon"
"293" 9.11 "USA" "Bacon"
"294" 9.14 "USA" "Bacon"
"295" 7.58 "USA" "Bacon"
"296" 8.36 "USA" "Bacon"
"297" 9.35 "USA" "Bacon"
"298" 8.86 "USA" "Bacon"
"299" 9.19 "USA" "Bacon"
"300" 10 "USA" "Bacon"
"301" 7.38 "Canada" "Burger"
"302" 6.36 "Canada" "Burger"
"303" 5.88 "Canada" "Burger"
"304" 7.11 "Canada" "Burger"
"305" 6.5 "Canada" "Burger"
"306" 6.08 "Canada" "Burger"
"307" 7.1 "Canada" "Burger"
"308" 7.13 "Canada" "Burger"
"309" 6.92 "Canada" "Burger"
"310" 7.02 "Canada" "Burger"
"311" 7.31 "Canada" "Burger"
"312" 6.01 "Canada" "Burger"
"313" 8.32 "Canada" "Burger"
"314" 6.78 "Canada" "Burger"
"315" 7.57 "Canada" "Burger"
"316" 7.56 "Canada" "Burger"
"317" 7.92 "Canada" "Burger"
"318" 7.37 "Canada" "Burger"
"319" 6.5 "Canada" "Burger"
"320" 6.44 "Canada" "Burger"
"321" 6 "Canada" "Burger"
"322" 6.52 "Canada" "Burger"
"323" 7.49 "Canada" "Burger"
"324" 6.7 "Canada" "Burger"
"325" 7.51 "Canada" "Burger"
"326" 6.97 "Canada" "Burger"
"327" 5.82 "Canada" "Burger"
"328" 6.02 "Canada" "Burger"
"329" 7.07 "Canada" "Burger"
"330" 8.5 "Canada" "Burger"
"331" 6.23 "Canada" "Burger"
"332" 7.35 "Canada" "Burger"
"333" 6.94 "Canada" "Burger"
"334" 7 "Canada" "Burger"
"335" 6.61 "Canada" "Burger"
"336" 6.82 "Canada" "Burger"
"337" 6.08 "Canada" "Burger"
"338" 8.96 "Canada" "Burger"
"339" 6.63 "Canada" "Burger"
"340" 6.17 "Canada" "Burger"
"341" 7.16 "Canada" "Burger"
"342" 6.96 "Canada" "Burger"
"343" 7.27 "Canada" "Burger"
"344" 6.7 "Canada" "Burger"
"345" 6.31 "Canada" "Burger"
"346" 5.78 "Canada" "Burger"
"347" 6.94 "Canada" "Burger"
"348" 6.92 "Canada" "Burger"
"349" 5.41 "Canada" "Burger"
"350" 7.33 "Canada" "Burger"
"351" 6.94 "Canada" "Cheese"
"352" 5.91 "Canada" "Cheese"
"353" 8.21 "Canada" "Cheese"
"354" 6.28 "Canada" "Cheese"
"355" 7.4 "Canada" "Cheese"
"356" 7.6 "Canada" "Cheese"
"357" 6.32 "Canada" "Cheese"
"358" 6.49 "Canada" "Cheese"
"359" 7.02 "Canada" "Cheese"
"360" 7.23 "Canada" "Cheese"
"361" 6.5 "Canada" "Cheese"
"362" 7.41 "Canada" "Cheese"
"363" 7.36 "Canada" "Cheese"
"364" 6.87 "Canada" "Cheese"
"365" 7.8 "Canada" "Cheese"
"366" 7.29 "Canada" "Cheese"
"367" 7.2 "Canada" "Cheese"
"368" 7.24 "Canada" "Cheese"
"369" 6.8 "Canada" "Cheese"
"370" 6.98 "Canada" "Cheese"
"371" 7.07 "Canada" "Cheese"
"372" 6.68 "Canada" "Cheese"
"373" 7.48 "Canada" "Cheese"
"374" 6.53 "Canada" "Cheese"
"375" 7.91 "Canada" "Cheese"
"376" 8.05 "Canada" "Cheese"
"377" 6.82 "Canada" "Cheese"
"378" 7.12 "Canada" "Cheese"
"379" 7.38 "Canada" "Cheese"
"380" 6.5 "Canada" "Cheese"
"381" 8.34 "Canada" "Cheese"
"382" 6.12 "Canada" "Cheese"
"383" 6.29 "Canada" "Cheese"
"384" 7.56 "Canada" "Cheese"
"385" 7.69 "Canada" "Cheese"
"386" 7.61 "Canada" "Cheese"
"387" 7.34 "Canada" "Cheese"
"388" 5.97 "Canada" "Cheese"
"389" 7.02 "Canada" "Cheese"
"390" 5.81 "Canada" "Cheese"
"391" 6.95 "Canada" "Cheese"
"392" 7.17 "Canada" "Cheese"
"393" 7.22 "Canada" "Cheese"
"394" 7.99 "Canada" "Cheese"
"395" 5.83 "Canada" "Cheese"
"396" 4.76 "Canada" "Cheese"
"397" 7.42 "Canada" "Cheese"
"398" 6.24 "Canada" "Cheese"
"399" 6.49 "Canada" "Cheese"
"400" 8.22 "Canada" "Cheese"
"401" 9.67 "Canada" "Bacon"
"402" 8.65 "Canada" "Bacon"
"403" 7.64 "Canada" "Bacon"
"404" 7.89 "Canada" "Bacon"
"405" 9.08 "Canada" "Bacon"
"406" 8.86 "Canada" "Bacon"
"407" 9.25 "Canada" "Bacon"
"408" 7.95 "Canada" "Bacon"
"409" 9.12 "Canada" "Bacon"
"410" 8.09 "Canada" "Bacon"
"411" 9.21 "Canada" "Bacon"
"412" 8.73 "Canada" "Bacon"
"413" 9.87 "Canada" "Bacon"
"414" 9.38 "Canada" "Bacon"
"415" 9.04 "Canada" "Bacon"
"416" 9.01 "Canada" "Bacon"
"417" 9.1 "Canada" "Bacon"
"418" 9.67 "Canada" "Bacon"
"419" 8.65 "Canada" "Bacon"
"420" 9.68 "Canada" "Bacon"
"421" 8.92 "Canada" "Bacon"
"422" 7.68 "Canada" "Bacon"
"423" 8.88 "Canada" "Bacon"
"424" 8.69 "Canada" "Bacon"
"425" 8.97 "Canada" "Bacon"
"426" 9.22 "Canada" "Bacon"
"427" 10 "Canada" "Bacon"
"428" 8.46 "Canada" "Bacon"
"429" 9.12 "Canada" "Bacon"
"430" 8.67 "Canada" "Bacon"
"431" 8.77 "Canada" "Bacon"
"432" 9.71 "Canada" "Bacon"
"433" 8.36 "Canada" "Bacon"
"434" 8.83 "Canada" "Bacon"
"435" 8.6 "Canada" "Bacon"
"436" 10 "Canada" "Bacon"
"437" 8.83 "Canada" "Bacon"
"438" 9.29 "Canada" "Bacon"
"439" 8.47 "Canada" "Bacon"
"440" 7.72 "Canada" "Bacon"
"441" 8.81 "Canada" "Bacon"
"442" 9.43 "Canada" "Bacon"
"443" 9.96 "Canada" "Bacon"
"444" 9.11 "Canada" "Bacon"
"445" 8.98 "Canada" "Bacon"
"446" 9.63 "Canada" "Bacon"
"447" 10 "Canada" "Bacon"
"448" 7.66 "Canada" "Bacon"
"449" 10 "Canada" "Bacon"
"450" 8.51 "Canada" "Bacon"
