"Lon" "Lat"
"154" -59.959 30.089
"155" -60.098 29.966
"156" -60.092 29.889
"157" -59.948 30.108
"158" -59.988 30.003
"159" -60.257 29.814
"160" -60.094 29.832
"161" -59.954 30.026
"162" -60.099 29.915
"163" -59.987 30.067
"164" -60.002 29.916
"165" -59.979 29.93
"166" -60.038 29.986
"167" -59.943 30.024
"168" -60.122 29.936
"169" -59.991 29.979
"170" -59.897 30.003
"171" -60.059 29.968
"172" -59.88 30.09
"173" -60.114 29.879
"174" -59.873 30.143
"175" -60.11 29.896
"176" -59.992 29.97
"177" -59.923 30.098
"178" -59.957 30.052
"179" -59.991 29.922
"180" -59.896 30.095
"181" -59.909 30.003
"182" -60.117 29.944
"183" -59.99 30.115
"184" -59.936 30.038
"185" -60.061 29.978
"186" -60.124 29.888
"187" -60.112 29.97
"188" -60.067 29.99
"189" -59.885 30.112
"190" -59.97 30.017
"191" -59.998 29.958
"192" -60.111 29.875
"193" -59.96 30.044
"194" -59.837 30.105
"195" -59.839 30.16
"196" -60.08 29.907
"197" -59.879 30.113
"198" -60.281 29.759
"199" -60.083 29.908
"200" -59.914 30.066
"201" -59.999 30.073
"202" -60.125 29.846
"203" -59.869 30.087
"204" -60.093 29.967
"205" -60.07 29.903
"206" -59.98 29.926
"207" -59.868 30.15
"208" -59.964 30.055
"209" -60.012 30.053
"210" -59.91 30.1
"211" -59.898 30.17
"212" -59.933 30.078
"213" -59.982 29.989
"214" -59.993 30.037
"215" -59.957 30.089
"216" -60.121 29.887
"217" -59.9 30.1
"218" -59.995 29.977
"219" -60.083 29.894
"220" -60.29 29.805
"221" -59.922 30.129
"222" -60.074 29.951
"223" -59.986 29.992
"224" -59.854 30.156
"225" -60.159 29.793
"226" -59.868 30.177
"227" -60.04 29.917
"228" -59.989 29.97
"229" -59.935 30.069
"230" -60.004 29.928
"231" -60.089 29.923
"232" -60.032 29.975
"233" -60.231 29.834
"234" -59.942 29.995
"235" -59.847 30.121
"236" -59.906 30.071
"237" -59.999 29.918
"238" -59.858 30.125
"239" -59.933 30.121
"240" -59.992 30.023
"241" -60.047 30.022
"242" -59.897 30.088
"243" -60.12 29.856
"244" -59.956 29.997
"245" -59.932 30.084
"246" -59.952 30.041
"247" -60.089 29.929
"248" -60.01 29.976
"249" -59.923 30.129
"250" -59.812 30.123
"251" -60.038 29.996
"252" -60.041 29.927
"253" -60.014 30.025
"254" -59.925 30.12
"255" -60.105 29.903
"256" -60.208 29.762
"257" -59.937 30.082
"258" -60.059 29.916
"259" -60.146 29.783
"260" -60.146 29.872
"261" -60.039 29.961
"262" -59.957 29.972
"263" -60.107 29.94
"264" -60.058 29.992
"265" -59.966 30.1
"266" -59.917 30.104
"267" -59.87 30.123
"268" -59.984 30.046
"269" -59.96 30.048
"270" -60.082 29.909
"271" -60.263 29.764
